codigo,recorte_id,experienciador,tipo_experienciador,tipo_emocion,tipo_emocion_justificacion,fuente,tipo_fuente,fuente_justificacion,foria,foria_justificacion,dominancia,dominancia_justificacion,intensidad,intensidad_justificacion
DISCURSO_048,DISCURSO_048_FR_003,Presidente Javier Milei,enunciador,contempto,"El calificativo ""dictador criminal"" y la referencia a la detención por un delito trivial reflejan un sentimiento de desprecio o contempto hacia Maduro y su régimen.",dictador criminal Nicolás Maduro,actor,"El sentimiento de desprecio se origina en la referencia negativa a Nicolás Maduro como ""dictador criminal"" y la trivialidad del delito que lo llevó a ser detenido, lo que provoca una actitud de desprecio hacia él y su régimen.",Disfórico,"El sentimiento de desprecio y desdén expresado en la frase ""dictador criminal"" y la crítica a la detención por un delito trivial indica una emoción negativa y de malestar, lo que corresponde al carácter disfórico según la ontología y las heurísticas proporcionadas.",Cognoscitiva,"El sentimiento de desprecio se manifiesta principalmente a través de juicios evaluativos: se califica a Maduro como ""dictador criminal"" y se minimiza la gravedad de la detención, lo que indica una valoración cognitiva de superioridad y desdén, sin indicios de manifestaciones corporales o sensaciones físicas.",Alta,"El discurso emplea calificativos fuertes como ""dictador criminal"" y presenta la detención como un acto de gravedad exagerada por un delito trivial, lo que indica un desprecio intenso y una expresión de desprecio clara hacia Maduro y su régimen."
DISCURSO_048,DISCURSO_048_FR_003,Presidente Javier Milei,enunciador,indignación,"El enunciador condena a Nicolás Maduro como ""dictador criminal"" y señala la injusticia de la detención por un delito trivial, lo que indica indignación hacia la situación.",detención de la pareja y el hijo por las fuerzas de seguridad a cargo de Nicolás Maduro,situacion,"La indignación del presidente Milei se desencadena por el evento concreto de la detención, considerado injusto y trivial, que constituye una situación que provoca la emoción.",Disfórico,"El discurso expresa indignación hacia la detención injusta y la condena de Maduro como dictador criminal, lo que indica una emoción negativa y de malestar.",Cognoscitiva,"El discurso presenta juicios y evaluaciones morales (denominación de Maduro como ""dictador criminal"" y la crítica a la injusticia de la detención), sin manifestaciones físicas o sensaciones corporales explícitas, lo que indica una dominancia cognoscitiva de la emoción de indignación.",Alta,"El enunciador utiliza un lenguaje fuerte y condenatorio al referirse a Nicolás Maduro como ""dictador criminal"" y al describir la detención como una injusticia por un delito trivial. La combinación de calificativos negativos y la crítica directa indican una expresión intensa de indignación."
DISCURSO_048,DISCURSO_048_FR_003,Oposición política (la casta política),contradestinatario,frustración,El discurso puede provocar frustración en la oposición al sentir que se les acusa indirectamente de apoyar a un régimen opresivo.,acusación de apoyar al régimen opresivo,situacion,"La frustración surge porque la oposición percibe que el discurso los acusa indirectamente de respaldar al régimen de Nicolás Maduro, generando una sensación de injusta culpabilidad.",Disfórico,"La frustración es una emoción negativa que expresa malestar o insatisfacción, por lo que se clasifica como disfórica según la tonalidad afectiva.",Cognoscitiva,"La frustración descrita surge principalmente de la evaluación cognitiva de la situación: el hablante percibe que se le acusa indirectamente de apoyar a un régimen opresivo, lo que genera un juicio de injusticia y bloqueo de metas. No se menciona manifestaciones físicas explícitas, por lo que la dominancia se identifica como cognoscitiva.",Alta,"El discurso utiliza un lenguaje cargado y acusatorio (“dictador criminal”, “fuerzas de seguridad a cargo del dictador”), lo que sugiere una frustración intensa al percibir una acusación directa y negativa. Además, la naturaleza de la acusación (detención por visitar a pareja e hijo) implica una fuerte carga emocional, lo que indica una intensidad alta de la emoción identificada."
DISCURSO_048,DISCURSO_048_FR_003,Oposición política (la casta política),contradestinatario,indignación,"La oposición política puede percibir la condena a Maduro como parte de una estrategia polarizadora, generando indignación.",detención por las fuerzas de seguridad a cargo del dictador criminal Nicolás Maduro,situacion,"La indignación surge del hecho de que la oposición percibe la detención de una persona por parte de las fuerzas de seguridad bajo el mando de Maduro como una acción injusta y política, generando indignación.",Disfórico,"La emoción de indignación se caracteriza por un tono negativo y de malestar, reflejado en la crítica y el descontento expresados en la frase.",Cognoscitiva,"La indignación del contradestinatario se basa en la evaluación crítica de la acción de detención como injusta y política, sin indicios de manifestaciones corporales explícitas; por lo tanto, la dominancia es cognoscitiva.",Alta,"El discurso utiliza calificativos fuertes como ""dictador criminal"" y describe una detención por un delito tan leve como visitar a la pareja y al hijo, lo que indica una expresión intensa de indignación. Además, la justificación menciona que la oposición percibe la condena como una estrategia polarizadora, lo que sugiere una reacción emocional fuerte y clara."
DISCURSO_048,DISCURSO_048_FR_003,Público general argentino,paradestinatario,empatía,La mención de un delito tan leve como visitar a la pareja y el hijo puede generar empatía por la víctima.,la detención por visitar a su pareja y su hijo,situacion,El hecho de que la persona haya sido detenida por una acción tan leve (visitar a su pareja y su hijo) genera empatía hacia la víctima.,Disfórico,"La emoción de empatía aquí se dirige hacia la víctima que sufre una injusticia, lo que genera un tono negativo y de malestar, caracterizando una emoción disfórica.",Cognoscitiva,"La empatía en este contexto se manifiesta principalmente a través de juicios y evaluaciones sobre la injusticia del arresto, lo que indica una dominancia cognoscitiva. No se observan indicios de manifestaciones físicas o sensaciones corporales asociadas a la emoción, por lo que la dominancia se clasifica como cognoscitiva.",Alta,"El discurso presenta una condena explícita del acto de detención por un delito tan leve como visitar a la pareja y el hijo, lo que sugiere una fuerte carga emocional y una empatía intensa hacia la víctima. La crítica directa al dictador y la descripción de la injusticia generan una respuesta emocional potente, lo que indica una intensidad alta de la emoción empatía."
DISCURSO_048,DISCURSO_048_FR_003,Público general argentino,paradestinatario,indignación,El público general argentino puede sentir indignación ante la denuncia de una represión injusta por parte de Maduro.,detención por las fuerzas de seguridad a cargo del dictador criminal Nicolás Maduro por visitar a su pareja y su hijo,situacion,El hecho concreto de que la persona haya sido detenida por las fuerzas de seguridad bajo la autoridad de Nicolás Maduro por un acto tan sencillo como visitar a su pareja y su hijo constituye la circunstancia externa que provoca la indignación del público.,Disfórico,"La indignación es una emoción negativa que expresa descontento, enojo o frustración ante una injusticia percibida. En el contexto del discurso, el público argentino se siente indignado por la represión injusta, lo que indica un tono de malestar y desagrado, característico de la categoría disfórica.",Cognoscitiva,"La indignación se manifiesta principalmente a través de juicios y evaluaciones morales sobre la injusticia percibida (la represión por parte de Maduro). No se indican manifestaciones corporales o sensaciones físicas, por lo que la dominancia se clasifica como cognoscitiva.",Alta,"El discurso utiliza calificativos fuertes como ""dictador criminal"" y describe una detención injusta por un delito tan mínimo como visitar a la pareja y al hijo, lo que indica una indignación intensa y claramente expresada."
DISCURSO_048,DISCURSO_048_FR_003,Público general argentino,paradestinatario,ira,La crítica a la fuerza de seguridad de Maduro puede provocar ira en la audiencia neutra.,fuerzas de seguridad a cargo del dictador criminal Nicolás Maduro,actor,"La acción de las fuerzas de seguridad, bajo la autoridad de Nicolás Maduro, al detener a una persona por visitar a su pareja y su hijo, constituye un acto injusto que provoca ira en la audiencia neutra.",Disfórico,"La emoción identificada es ira, la cual es una emoción negativa que expresa malestar y desagrado. En el discurso se critica a las fuerzas de seguridad y al dictador, generando una tonalidad claramente desfavorable y hostil, lo que corresponde al carácter disfórico según la ontología y las heurísticas proporcionadas.",Cognoscitiva,"La emoción de ira se desencadena principalmente por la evaluación cognitiva de la injusticia percibida: la audiencia neutra interpreta la detención como un acto arbitrario y cruel, lo que genera juicios negativos y pensamientos críticos sobre la actuación de las fuerzas de seguridad. No se menciona manifestaciones físicas explícitas, por lo que la dominancia se clasifica como cognoscitiva.",Alta,"El discurso emplea un lenguaje cargado y acusatorio, calificando a Maduro como ""dictador criminal"" y denunciando la acción de las fuerzas de seguridad. Tal tono y elección de palabras indican una expresión de ira intensa y directa, lo que sugiere una alta intensidad emocional."
DISCURSO_048,DISCURSO_048_FR_003,Partido político de Javier Milei y su base electoral,prodestinatario,indignación,"El discurso condena a Maduro como ""dictador criminal"" y acusa a sus fuerzas de seguridad de detener a una persona por un delito tan leve, lo que puede generar indignación en los partidarios de Milei.",detención por visitar a su pareja y su hijo,situacion,La indignación surge por la injusticia de ser detenido por las fuerzas de seguridad de Maduro por un delito tan leve.,Disfórico,"La indignación es una emoción negativa que expresa descontento, enojo o frustración ante una situación percibida como injusta o injustificada. En el discurso se critica la acción de las fuerzas de seguridad y se condena al dictador, lo que genera un tono de malestar y desagrado, característico de la polaridad disfórica.",Cognoscitiva,"El discurso expresa indignación principalmente a través de juicios y evaluaciones morales: se condena a Maduro como ""dictador criminal"" y se critica la detención por un delito tan leve. No se mencionan manifestaciones físicas o sensaciones corporales, por lo que la dominancia se identifica como cognoscitiva.",Alta,"El discurso utiliza calificativos fuertes como ""dictador criminal"" y acusa a las fuerzas de seguridad de detener a una persona por un delito tan leve, lo que genera una indignación intensa y claramente expresada."
DISCURSO_048,DISCURSO_048_FR_003,Partido político de Javier Milei y su base electoral,prodestinatario,ira,La acusación de criminalidad y la crítica a la represión de Maduro pueden provocar ira en el público que comparte los valores del presidente.,detención por las fuerzas de seguridad a cargo del dictador criminal Nicolás Maduro,situacion,"La emoción de ira se desencadena por la situación de haber sido detenido de manera injusta por las fuerzas de seguridad bajo el mando del dictador Nicolás Maduro, lo cual constituye un acto represivo que provoca indignación en el experienciador.",Disfórico,"La emoción identificada es ira, la cual se caracteriza por un tono negativo, de malestar y descontento. En el discurso se expresa una crítica violenta y acusatoria hacia las fuerzas de seguridad y el dictador, lo que refuerza la polaridad negativa típica de la ira. Por lo tanto, la foria correspondiente es disfórica.",Cognoscitiva,"La ira expresada en el discurso se fundamenta principalmente en juicios y evaluaciones morales sobre la acusación de criminalidad y la represión del dictador Nicolás Maduro. El texto enfatiza la percepción de injusticia y la crítica a la autoridad, lo que indica que la emoción se origina en procesos cognitivos de valoración y condena, más que en manifestaciones físicas explícitas.",Alta,"El discurso emplea un lenguaje cargado de acusaciones fuertes (“dictador criminal”, “detenido por las fuerzas de seguridad”) y critica directa a la represión de Maduro, lo que indica una expresión intensa de ira. Además, la frase sugiere indignación y frustración hacia la autoridad, lo que sugiere una emoción de alta intensidad."
DISCURSO_048,DISCURSO_048_FR_003,Partido político de Javier Milei y su base electoral,prodestinatario,orgullo,"El discurso posiciona a Milei como defensor de la libertad frente a un régimen opresivo, lo que puede generar orgullo en su base.",dictador criminal Nicolás Maduro,actor,"El orgullo surge al percibir la acción injusta del dictador Nicolás Maduro, cuya detención de la persona por un delito trivial se interpreta como una muestra de opresión, lo que refuerza la posición de Milei como defensor de la libertad.",euforico,"El orgullo expresado en el discurso es positivo y celebratorio, reflejando satisfacción y entusiasmo por la defensa de la libertad, lo que lo clasifica como eufórico.",Cognoscitiva,"El orgullo expresado en el discurso se fundamenta en la valoración y reconocimiento de la acción de Milei como defensor de la libertad frente a un régimen opresivo. No se menciona ninguna manifestación física, gesto o sensación corporal asociada a la emoción; la referencia se centra en la evaluación positiva de la conducta de Milei y la interpretación de su valentía. Por lo tanto, la dominancia de la emoción identificada es cognoscitiva, basada en juicios y evaluaciones mentales.",Alta,"El discurso presenta una fuerte exaltación de Milei como defensor de la libertad frente a un régimen opresivo, utilizando un lenguaje cargado de condena y admiración. La referencia a la detención por un delito tan trivial como visitar a su pareja y hijo, junto con la etiqueta de ""dictador criminal"", refuerza la narrativa heroica y provoca una sensación de orgullo intenso entre la audiencia. Esta combinación de lenguaje cargado y la posición heroica de Milei indica una emoción de orgullo de alta intensidad."
DISCURSO_048,DISCURSO_048_FR_004,Oposición política (la casta política),contradestinatario,frustración,"El discurso presenta una postura crítica y de presión diplomática que puede percibirse como una amenaza o desafío por parte de la oposición, provocando frustración.",detención del individuo,situacion,"La frustración del opositor se origina en la situación de que el individuo está detenido, lo cual perciben como una injusticia que impide su liberación inmediata.",Disfórico,"La emoción de frustración se caracteriza por un tono negativo y de malestar, reflejado en la exigencia de liberación y la amenaza de usar vías diplomáticas, lo que indica una actitud de descontento y tensión.",cognoscitiva,"La emoción de frustración se manifiesta principalmente a través de juicios y evaluaciones cognitivas sobre la imposibilidad de lograr el objetivo de liberar al individuo. En el discurso no aparecen indicios de manifestaciones físicas o sensaciones corporales; la expresión se centra en la demanda y la evaluación de las vías diplomáticas como medios para alcanzar la meta, lo que indica una dominancia cognoscitiva.",Alta,"El discurso emplea verbos de demanda fuerte como ""exigimos"" y adjetivos de urgencia como ""inmediata"", además de la amenaza de ""agotaremos todas las vías diplomáticas"", lo que indica una frustración intensamente expresada y con intención de presión directa."
DISCURSO_048,DISCURSO_048_FR_004,Partido político de Javier Milei y su base electoral,prodestinatario,determinación,"La frase ""exigimos"" y ""agotaremos todas las vías diplomáticas"" indica una voluntad firme y resoluta de actuar, reflejando determinación.",la detención de la persona en cuestión,situacion,La determinación expresada por el partido surge como respuesta a la situación concreta de que una persona está detenida; la exigencia de liberación y el compromiso de usar todas las vías diplomáticas se originan en ese contexto de detención.,Afórico,"La emoción identificada es determinación, la cual se caracteriza por una voluntad firme y resoluta de actuar sin implicar necesariamente alegría ni malestar. En la frase ""exigimos su liberación inmediata y agotaremos todas las vías diplomáticas para devolverlo sano y salvo a la argentina"", se observa un tono de firmeza y propósito, pero no se expresa entusiasmo ni desagrado, lo que la coloca en la categoría neutra o afórica según la ontología propuesta.",Cognoscitiva,"La frase muestra una intención firme y planificada, con verbos de acción y compromiso, reflejando juicios y evaluaciones de la situación, sin indicios de manifestaciones corporales.",Alta,"El uso de verbos imperativos como ""exigimos"" y la afirmación de ""agotaremos todas las vías diplomáticas"" indican una voluntad firme y resoluta, lo que sugiere una intensidad alta de la emoción de determinación."
DISCURSO_048,DISCURSO_048_FR_004,Partido político de Javier Milei y su base electoral,prodestinatario,indignación,"El discurso condena el secuestro de Nahuel Gallo y exige su liberación inmediata, lo que genera una reacción de indignación ante la injusticia percibida.",el secuestro de Nahuel Gallo,situacion,"La indignación se desencadena por el evento del secuestro de Nahuel Gallo, una situación externa que provoca la reacción emocional.",Disfórico,"La frase expresa indignación ante la injusticia percibida, lo que constituye una emoción negativa y de malestar, caracterizando así un tono disfórico.",Cognoscitiva,"El discurso de indignación se manifiesta principalmente a través de juicios y evaluaciones racionales: la expresión ""exigimos su liberación inmediata"" y la promesa de ""agotar todas las vías diplomáticas"" reflejan una valoración crítica de la injusticia percibida y una planificación de acciones basadas en la lógica política. No se observan indicios de manifestaciones corporales explícitas (sensaciones físicas, gestos), por lo que la dominancia se clasifica como cognoscitiva.",Alta,"El discurso utiliza verbos de exigencia y urgencia como ""exigimos"" y ""inmediata"", además de la promesa de ""agotar todas las vías diplomáticas"", lo que indica una expresión fuerte y directa de indignación contra la injusticia percibida. Estos elementos lingüísticos y el contexto de demanda de liberación inmediata sugieren una emoción intensamente expresada."
DISCURSO_048,DISCURSO_048_FR_004,Presidente Javier Milei,enunciador,determinación,"La frase ""agotaremos todas las vías diplomáticas"" expresa la firme intención y la determinación de lograr la liberación.",la detención de la persona,situacion,"La determinación del presidente surge como respuesta directa a la situación de detención de la persona, lo que motiva la exigencia de su liberación inmediata y el uso de vías diplomáticas.",Afórico,"La emoción de determinación se caracteriza por una firme voluntad de lograr un objetivo sin expresar explícitamente alegría ni malestar. En el discurso, la frase indica una intención resoluta y decidida, pero no transmite una tonalidad afectiva positiva (eufórica) ni negativa (disfórica). Por lo tanto, se clasifica como afórica, es decir, neutra en cuanto a polaridad emocional.",Cognoscitiva,"La expresión ""agotaremos todas las vías diplomáticas"" refleja un juicio deliberado, una evaluación estratégica y la intención firme de actuar, sin manifestaciones físicas explícitas. Por lo tanto, la dominancia de la emoción de determinación se ubica en el dominio cognoscitivo.",Alta,"El discurso emplea verbos fuertes como ""exigimos"" y ""agotaremos"", además de la expresión ""inmediata"" y la referencia a ""todas las vías diplomáticas"", lo que indica una intención firme y urgente, caracterizando una alta intensidad de determinación."
DISCURSO_048,DISCURSO_048_FR_004,Presidente Javier Milei,enunciador,esperanza,"La expresión ""para devolverlo sano y salvo"" refleja la esperanza de que el proceso resulte exitoso y el individuo sea recuperado sin daños.",vías diplomáticas para devolverlo sano y salvo a la argentina,situacion,"La esperanza surge de la expectativa de que las vías diplomáticas llevarán a la liberación y retorno seguro del individuo, constituyendo una situación externa que genera la emoción.",Eufórico,"La expresión de esperanza y la expectativa de un resultado positivo (liberación sana y salvo) indican un tono positivo y optimista, característico de la emoción eufórica.",Cognoscitiva,"La esperanza se manifiesta en la evaluación positiva y la expectativa de éxito, evidenciada por la determinación de exigir la liberación y la planificación de vías diplomáticas, sin indicios de manifestaciones corporales.",Alta,"El discurso muestra una demanda urgente y la determinación de usar todas las vías diplomáticas, lo que indica una esperanza fuerte y activa de que el proceso sea exitoso y el individuo sea recuperado sin daños."
DISCURSO_048,DISCURSO_048_FR_004,Presidente Javier Milei,enunciador,indignación,"El uso de ""exigimos"" y el contexto de denunciar el secuestro indican una postura de indignación contra la acción del régimen.",secuestro,situacion,"La indignación surge al denunciar el secuestro, un evento que implica la violación de derechos y la acción del régimen.",disforico,"La emoción de indignación se caracteriza por un tono negativo de malestar y descontento frente a una acción percibida como injusta o violatoria. En el discurso se emplean verbos y expresiones como ""exigimos"" y la denuncia de un secuestro, lo que refuerza la carga negativa y de protesta, alineándose con la categoría disfórica.",cognoscitiva,"El discurso expresa indignación a través de juicios morales y evaluaciones (""exigimos"", ""inmediata"", ""agotar todas las vías diplomáticas""), sin manifestaciones físicas explícitas, lo que indica una dominancia cognoscitiva.",Alta,"El uso de ""exigimos"" y la declaración de ""agotar todas las vías diplomáticas"" indican una demanda firme y urgente, típica de una indignación con alta intensidad. Además, el contexto de denunciar un secuestro y la urgencia de la liberación refuerzan la fuerza emocional del discurso."
