actor,tipo,modo,justificacion,recorte_id,codigo
Sociedad,colectivo,inferido,El contexto menciona que la sociedad tiene afecto persistente por las fuerzas armadas y que el respeto y reconocimiento provienen de la sociedad.,DISCURSO_048_FR_023,DISCURSO_048
Gobierno,institucional,inferido,"Sujeto tácito: el verbo 'estamos' indica un sujeto plural que, en el contexto del discurso del presidente, se refiere al Gobierno de Milei.",DISCURSO_048_FR_024,DISCURSO_048
Fuerzas armadas,colectivo,explícito,Frase objetivo menciona explícitamente 'las fuerzas armadas'.,DISCURSO_048_FR_024,DISCURSO_048
egresados,colectivo,explícito,"referido por ""ustedes"" y ""nueva camada de egresados""",DISCURSO_048_FR_025,DISCURSO_048
camaradas de mayor experiencia y rango,colectivo,explícito,"referido por ""sus camaradas de mayor experiencia y rango""",DISCURSO_048_FR_025,DISCURSO_048
gobierno,institucional,explícito,"referido por ""un gobierno""",DISCURSO_048_FR_025,DISCURSO_048
tres fuerzas,colectivo,explícito,"referido por ""las tres fuerzas""",DISCURSO_048_FR_025,DISCURSO_048
Roca,humano_individual,explícito,"referido por ""Roca"" en ""el legado que nos dejaron Roca y San Martín""",DISCURSO_048_FR_025,DISCURSO_048
San Martín,humano_individual,explícito,"referido por ""San Martín"" en ""el legado que nos dejaron Roca y San Martín""",DISCURSO_048_FR_025,DISCURSO_048
graduados,colectivo,inferido,"El pronombre indirecto ""les"" hace referencia a la ""nueva camada de egresados"" mencionada en el contexto previo, indicando que la exigencia se dirige a ese grupo.",DISCURSO_048_FR_026,DISCURSO_048
cada cual,humano_individual,explícito,"El pronombre ""cada cual"" aparece directamente en la frase objetivo, refiriéndose a cada individuo dentro del grupo de graduados.",DISCURSO_048_FR_026,DISCURSO_048
camaradas de armas,colectivo,explícito,"El sujeto de la oración 'tuvieron que estar a la altura...' es 'camaradas de armas como ustedes', un grupo de militares.",DISCURSO_048_FR_028,DISCURSO_048
tiranía rosista,institucional,explícito,"El objeto de la acción 'prevalecer contra' es 'la tiranía rosista', que representa al régimen de Rosas, una entidad institucional.",DISCURSO_048_FR_028,DISCURSO_048
camaradas de armas,colectivo,inferido,"la frase hace referencia a la memoria de los camaradas de armas mencionados en el contexto previo, por lo que se infiere que su memoria es el ejemplo citado.",DISCURSO_048_FR_029,DISCURSO_048
nuevos oficiales,colectivo,inferido,"el pronombre 'ustedes' y 'los' se refieren a los nuevos oficiales que están recibiendo el discurso, por lo que se infiere que son los destinatarios del ejemplo y la motivación.",DISCURSO_048_FR_029,DISCURSO_048
oficiales que hoy egresan,colectivo,explícito,"El texto menciona directamente a los ""estimados oficiales que hoy egresan"" y a ""ustedes"", refiriéndose al mismo grupo.",DISCURSO_048_FR_030,DISCURSO_048
la nación,colectivo,explícito,"La frase ""la nación cuenta con ustedes"" menciona explícitamente a la nación como entidad que actúa sobre el grupo de oficiales.",DISCURSO_048_FR_030,DISCURSO_048
nuevos oficiales,colectivo,inferido,"El pronombre 'ustedes' se refiere a los oficiales recién egresados, según el contexto previo del discurso.",DISCURSO_048_FR_031,DISCURSO_048
nación,institucional,explícito,La palabra 'nación' aparece explícitamente en la frase objetivo.,DISCURSO_048_FR_031,DISCURSO_048
hombres y mujeres de nuestras fuerzas armadas,colectivo,explícito,El texto menciona directamente a este grupo como sujeto de la acción de contribuir.,DISCURSO_048_FR_032,DISCURSO_048
nuevos oficiales,colectivo,explícito,El texto menciona explícitamente a este grupo como objeto de la formación.,DISCURSO_048_FR_032,DISCURSO_048
hombres y mujeres de nuestras fuerzas armadas,colectivo,inferido,"El pronombre 'ellos' en la frase se refiere a los 'hombres y mujeres de nuestras fuerzas armadas', inferido a partir del contexto previo donde se menciona a este grupo.",DISCURSO_048_FR_033,DISCURSO_048
nueva camada,colectivo,explícito,El término 'nueva camada' aparece explícitamente en la frase como el objeto de la responsabilidad de educar.,DISCURSO_048_FR_033,DISCURSO_048
graduados,colectivo,explícito,referencia explícita en la frase objetivo,DISCURSO_048_FR_034,DISCURSO_048
hombres y mujeres de nuestras fuerzas armadas,colectivo,inferido,pronombre 'los' referenciado a 'hombres y mujeres de nuestras fuerzas armadas' en contexto previo,DISCURSO_048_FR_034,DISCURSO_048
familiares de nuestros oficiales,colectivo,explícito,"El grupo de personas mencionado directamente en la frase como ""los familiares de nuestros oficiales"".",DISCURSO_048_FR_035,DISCURSO_048
nuestros oficiales,colectivo,explícito,"El grupo de personas referido en la frase como ""nuestros oficiales"", al que pertenecen los familiares.",DISCURSO_048_FR_035,DISCURSO_048
graduados,colectivo,inferido,"El pronombre 'les' en la frase 'les deseo' se refiere a los graduados presentes en el discurso, según el contexto del discurso donde se menciona la entrega de sables y la felicitación a los nuevos oficiales.",DISCURSO_048_FR_036,DISCURSO_048
familias de los oficiales,colectivo,inferido,"El pronombre 'les' también se refiere a las familias de los oficiales, ya que el discurso incluye agradecimientos a los familiares por su apoyo, indicando que son parte de la audiencia a la que se dirige el deseo.",DISCURSO_048_FR_036,DISCURSO_048
la patria,colectivo,explícito,"La frase contiene la expresión 'la patria', que se refiere a la nación como colectivo.",DISCURSO_048_FR_038,DISCURSO_048
