experienciador,tipo_emocion,modo_existencia,justificacion,recorte_id,codigo
Público general argentino (paradestinatario),esperanza,potencial,"La promesa de devolver al secuestrado sano y salvo sugiere una expectativa positiva de resolución, generando esperanza en la audiencia general.",DISCURSO_048_FR_004,DISCURSO_048
Oposición política (la casta política) (contradestinatario),frustración,potencial,"El discurso presenta una postura crítica y de presión diplomática que puede percibirse como una amenaza o desafío por parte de la oposición, provocando frustración.",DISCURSO_048_FR_004,DISCURSO_048
Partido político de Javier Milei y su base electoral,pride,potencial,El saludo formal y la atención especial a los nuevos egresados pueden generar orgullo en la base partidaria al ver a su líder reconocer los logros militares.,DISCURSO_048_FR_005,DISCURSO_048
Partido político de Javier Milei y su base electoral,respect,potencial,El tono respetuoso del discurso hacia altos cargos y las fuerzas armadas sugiere que la base partidaria anticipa sentir respeto por la institución y por el presidente.,DISCURSO_048_FR_005,DISCURSO_048
Partido político de Javier Milei y su base electoral,solidarity,potencial,"La inclusión de diversos rangos militares en el saludo indica una intención de solidaridad, lo que puede generar un sentimiento de unidad dentro del partido.",DISCURSO_048_FR_005,DISCURSO_048
Partido político de Javier Milei y su base electoral,confidence,potencial,"Al reconocer a las fuerzas armadas, el presidente refuerza la confianza de la base partidaria en su liderazgo y en la seguridad nacional.",DISCURSO_048_FR_005,DISCURSO_048
Público general argentino,respect,potencial,El saludo formal al ejército puede inspirar respeto entre la población general por la institución y por la atención del presidente.,DISCURSO_048_FR_005,DISCURSO_048
Público general argentino,admiration,potencial,El reconocimiento a los nuevos oficiales puede generar admiración en el público por la profesionalidad y el compromiso de las fuerzas armadas.,DISCURSO_048_FR_005,DISCURSO_048
Oposición política (la casta política),skepticism,potencial,"Dado el contexto de deterioro entre el Estado y las fuerzas armadas, la oposición puede percibir el discurso con escepticismo respecto a la intención del presidente.",DISCURSO_048_FR_005,DISCURSO_048
Oposición política (la casta política),resentment,potencial,"La oposición puede sentir resentimiento ante la aparente preferencia del presidente hacia las fuerzas armadas, tal como se sugiere en el contexto del discurso.",DISCURSO_048_FR_005,DISCURSO_048
Partido político de Javier Milei y su base electoral,gratitud,potencial,"El discurso reconoce a los asistentes como parte de la jornada inolvidable, lo que sugiere que el partido y su base pueden sentir una gratitud potencial por su presencia y apoyo.",DISCURSO_048_FR_006,DISCURSO_048
Público general argentino,gratitud,potencial,"Al dirigirse a todos los que han venido a acompañar, el discurso invita al público general a sentirse apreciado, generando una emoción de gratitud potencial.",DISCURSO_048_FR_006,DISCURSO_048
Partido político de Javier Milei y su base electoral (tipo: prodestinatario),pride,potencial,"El presidente declara que es un honor participar en la ceremonia, lo que refuerza la percepción de orgullo en la base del partido al ver a su líder en una posición de honor junto a las fuerzas armadas.",DISCURSO_048_FR_007,DISCURSO_048
Partido político de Javier Milei y su base electoral (tipo: prodestinatario),admiration,potencial,La expresión de honor y la participación en una ceremonia militar generan una posible admiración por la postura del presidente y su compromiso con las fuerzas armadas.,DISCURSO_048_FR_007,DISCURSO_048
Público general argentino (tipo: paradestinatario),respect,potencial,La audiencia general puede sentir respeto hacia el presidente y las fuerzas armadas al ver al mandatario participar con honor en la ceremonia.,DISCURSO_048_FR_007,DISCURSO_048
Público general argentino (tipo: paradestinatario),inspiration,potencial,La ceremonia y la declaración de honor pueden inspirar al público a apoyar la labor de las fuerzas armadas y la gestión presidencial.,DISCURSO_048_FR_007,DISCURSO_048
Oposición política (la casta política) (tipo: contradestinatario),threat,potencial,La afirmación de que el presidente es comandante en jefe y participa en la ceremonia puede percibirse como una amenaza a la supervisión civil y a la autonomía de la oposición.,DISCURSO_048_FR_007,DISCURSO_048
Oposición política (la casta política) (tipo: contradestinatario),resentment,potencial,La alineación del presidente con las fuerzas armadas y su declaración de honor pueden generar resentimiento en la oposición por la percepción de favoritismo militar.,DISCURSO_048_FR_007,DISCURSO_048
Partido político de Javier Milei y su base electoral (prodestinatario),orgullo,potencial,"El discurso dirige al presidente a los graduados, lo que puede generar orgullo potencial en la base partidaria al ver a su líder reconocer a los nuevos oficiales.",DISCURSO_048_FR_008,DISCURSO_048
Público general argentino (paradestinatario),anticipación,potencial,"El anuncio de que el presidente se dirigirá a los graduados crea una expectativa potencial de lo que se dirá, generando anticipación en la audiencia general.",DISCURSO_048_FR_008,DISCURSO_048
Oposición política (la casta política) (contradestinatario),indignación,potencial,"La oposición puede percibir el discurso como una maniobra política y, por tanto, experimentar indignación potencial ante la atención que el presidente presta a los graduados.",DISCURSO_048_FR_008,DISCURSO_048
Partido político de Javier Milei y su base electoral (tipo: prodestinatario),orgullo,potencial,"El discurso felicita a los graduados, lo que puede generar orgullo en los miembros del partido y su base electoral al ver el reconocimiento de sus valores.",DISCURSO_048_FR_009,DISCURSO_048
Público general argentino (tipo: paradestinatario),orgullo,potencial,"El discurso felicita a los graduados, lo que puede generar orgullo en el público general al percibir el reconocimiento de la institución militar y los valores de servicio a la patria.",DISCURSO_048_FR_009,DISCURSO_048
Partido político de Javier Milei y su base electoral,orgullo,potencial,"La frase destaca el logro de los graduados y su transición a una carrera profesional, lo que alinea con los valores de la base partidaria y genera un sentimiento de orgullo potencial.",DISCURSO_048_FR_010,DISCURSO_048
Partido político de Javier Milei y su base electoral,esperanza,potencial,"El discurso sugiere que los nuevos oficiales enfrentarán demandas permanentes, lo que puede inspirar una esperanza de que la nueva generación cumplirá con los ideales del partido.",DISCURSO_048_FR_010,DISCURSO_048
Público general argentino,orgullo,potencial,El público general puede sentir orgullo al ver a sus compatriotas culminar la formación militar y comenzar una carrera que representa la defensa del país.,DISCURSO_048_FR_010,DISCURSO_048
Público general argentino,inspiración,potencial,La referencia a la exigencia permanente puede motivar al público a inspirarse en la disciplina y el compromiso de los nuevos oficiales.,DISCURSO_048_FR_010,DISCURSO_048
Oposición política (la casta política),ansiedad,potencial,La crítica a la casta política y la llamada a la responsabilidad pueden generar ansiedad en la oposición ante la posible pérdida de influencia.,DISCURSO_048_FR_010,DISCURSO_048
Oposición política (la casta política),resentimiento,potencial,El discurso que restaura el respeto a las Fuerzas Armadas y critica la casta política puede provocar resentimiento en la oposición al percibir una amenaza a su posición.,DISCURSO_048_FR_010,DISCURSO_048
Partido político de Javier Milei y su base electoral (tipo: prodestinatario),orgullo,potencial,"El discurso celebra el logro de los graduados y su continuo aprendizaje, lo que puede generar orgullo en el partido y su base.",DISCURSO_048_FR_011,DISCURSO_048
Partido político de Javier Milei y su base electoral (tipo: prodestinatario),esperanza,potencial,La referencia a una nueva etapa de aprendizaje sugiere una visión positiva y esperanzadora para el futuro.,DISCURSO_048_FR_011,DISCURSO_048
Partido político de Javier Milei y su base electoral (tipo: prodestinatario),optimismo,potencial,El mensaje de que las enseñanzas acompañarán el resto de sus vidas transmite una perspectiva optimista.,DISCURSO_048_FR_011,DISCURSO_048
Partido político de Javier Milei y su base electoral (tipo: prodestinatario),motivación,potencial,El énfasis en la continuidad del aprendizaje puede motivar a la base a seguir apoyando la causa.,DISCURSO_048_FR_011,DISCURSO_048
Público general argentino (tipo: paradestinatario),inspiración,potencial,El discurso inspira a la audiencia general al destacar la importancia del aprendizaje continuo.,DISCURSO_048_FR_011,DISCURSO_048
Público general argentino (tipo: paradestinatario),esperanza,potencial,El mensaje de una nueva etapa de aprendizaje genera esperanza en el público general.,DISCURSO_048_FR_011,DISCURSO_048
Público general argentino (tipo: paradestinatario),optimismo,potencial,"El discurso sugiere una visión optimista del futuro de los graduados y, por extensión, del país.",DISCURSO_048_FR_011,DISCURSO_048
Público general argentino (tipo: paradestinatario),orgullo,potencial,"El discurso celebra el logro de los graduados, lo que puede generar orgullo en el público general.",DISCURSO_048_FR_011,DISCURSO_048
Partido político de Javier Milei y su base electoral,Orgullo,potencial,"El discurso resalta los valores de los héroes emancipadores, alineándose con la narrativa de libertad y orden que el partido promueve, lo que puede generar orgullo en su base.",DISCURSO_048_FR_012,DISCURSO_048
Partido político de Javier Milei y su base electoral,Inspiración,potencial,La entrega de los sables como símbolo de principios máximos puede inspirar a los partidarios a continuar apoyando la causa y a sentirse motivados por la historia.,DISCURSO_048_FR_012,DISCURSO_048
Partido político de Javier Milei y su base electoral,Motivación,potencial,El énfasis en la entrega de símbolos de valor y gloria puede motivar a la base a seguir participando activamente en la agenda política del partido.,DISCURSO_048_FR_012,DISCURSO_048
Público general argentino,Orgullo,potencial,El público puede sentir orgullo al ver reconocidos los valores de los héroes emancipadores y la tradición militar argentina.,DISCURSO_048_FR_012,DISCURSO_048
Público general argentino,Patriotismo,potencial,La referencia a los héroes emancipadores y la entrega de sables puede despertar sentimientos patrióticos en la audiencia.,DISCURSO_048_FR_012,DISCURSO_048
Público general argentino,Inspiración,potencial,El discurso puede inspirar al público a valorar la historia y a comprometerse con los principios que se celebran.,DISCURSO_048_FR_012,DISCURSO_048
Oposición política (la casta política),Indignación,potencial,La exaltación de la tradición militar y la crítica a la casta política pueden generar indignación en la oposición al sentir que se les excluye de la narrativa.,DISCURSO_048_FR_012,DISCURSO_048
Oposición política (la casta política),Resentimiento,potencial,El discurso puede provocar resentimiento al percibir una polarización y una falta de reconocimiento de sus aportes.,DISCURSO_048_FR_012,DISCURSO_048
Oposición política (la casta política),Desprecio,potencial,La crítica implícita a la casta política y la exaltación de la fuerza militar pueden generar un sentimiento de desprecio hacia la oposición.,DISCURSO_048_FR_012,DISCURSO_048
Partido político de Javier Milei y su base electoral,orgullo,potencial,"El discurso celebra el símbolo del mando, alineado con los valores de orden, valor y gloria que son centrales para la ideología del partido, lo que puede generar orgullo entre sus seguidores.",DISCURSO_048_FR_013,DISCURSO_048
Público general argentino,respeto,potencial,La descripción del sable como símbolo que acompaña a los oficiales a lo largo de su carrera puede evocar un sentimiento de respeto hacia las Fuerzas Armadas y la ceremonia entre la población.,DISCURSO_048_FR_013,DISCURSO_048
Oposición política (la casta política),indignación,potencial,"El discurso enfatiza la restauración del respeto entre el Estado y las Fuerzas Armadas y critica a la casta política, lo que podría provocar indignación o defensividad entre los opositores.",DISCURSO_048_FR_013,DISCURSO_048
Partido político de Javier Milei y su base electoral,orgullo,potencial,"El discurso alienta a los nuevos oficiales a jurar fidelidad a la Constitución, lo que puede generar orgullo en el partido y su base por la alineación con valores nacionales.",DISCURSO_048_FR_014,DISCURSO_048
Partido político de Javier Milei y su base electoral,esperanza,potencial,"La promesa de una vida entera de servicio a la nación sugiere un futuro de estabilidad y progreso, generando esperanza en el grupo.",DISCURSO_048_FR_014,DISCURSO_048
Partido político de Javier Milei y su base electoral,motivación,potencial,El llamado a la fidelidad y al compromiso puede motivar a los partidarios a participar activamente en la causa.,DISCURSO_048_FR_014,DISCURSO_048
Público general argentino,patriotismo,potencial,El juramento a la Constitución y el servicio a la nación evocan sentimientos patrióticos en la audiencia general.,DISCURSO_048_FR_014,DISCURSO_048
Público general argentino,orgullo,potencial,La ceremonia de entrega de sables y el juramento pueden generar orgullo en la población por la fortaleza de sus instituciones.,DISCURSO_048_FR_014,DISCURSO_048
Público general argentino,esperanza,potencial,"El compromiso de los oficiales con la nación sugiere un futuro prometedor, lo que puede inspirar esperanza en el público.",DISCURSO_048_FR_014,DISCURSO_048
Oposición política (la casta política),resentimiento,potencial,"El discurso puede percibirse como una crítica a la influencia de la casta política, generando resentimiento en sus miembros.",DISCURSO_048_FR_014,DISCURSO_048
Oposición política (la casta política),amenaza,potencial,El énfasis en la fidelidad militar y el servicio a la nación puede interpretarse como una amenaza a su poder político.,DISCURSO_048_FR_014,DISCURSO_048
Partido político de Javier Milei y su base electoral (tipo: prodestinatario),orgullo,potencial,"El llamado a recordar los valores de orden, valor y gloria puede generar un sentimiento de orgullo potencial entre los partidarios que comparten la visión del presidente.",DISCURSO_048_FR_015,DISCURSO_048
Partido político de Javier Milei y su base electoral (tipo: prodestinatario),inspiración,potencial,La exhortación a grabar en la memoria los preceptos puede inspirar a la base electoral a actuar con esos valores.,DISCURSO_048_FR_015,DISCURSO_048
Partido político de Javier Milei y su base electoral (tipo: prodestinatario),motivación,potencial,"El discurso busca motivar a los graduados y a la base a seguir los valores, generando motivación potencial.",DISCURSO_048_FR_015,DISCURSO_048
Público general argentino (tipo: paradestinatario),orgullo,potencial,El público general puede sentir orgullo al escuchar la celebración de valores nacionales.,DISCURSO_048_FR_015,DISCURSO_048
Público general argentino (tipo: paradestinatario),inspiración,potencial,El llamado a recordar valores puede inspirar al público general a vivir de acuerdo con ellos.,DISCURSO_048_FR_015,DISCURSO_048
Público general argentino (tipo: paradestinatario),asombro,potencial,La referencia a los vitrales y los preceptos puede generar asombro ante la simbología militar.,DISCURSO_048_FR_015,DISCURSO_048
Oposición política (la casta política) (tipo: contradestinatario),indignación,potencial,"La oposición puede percibir el discurso como una reafirmación de la relación entre Estado y fuerzas armadas, generando indignación potencial.",DISCURSO_048_FR_015,DISCURSO_048
Oposición política (la casta política) (tipo: contradestinatario),resentimiento,potencial,El discurso puede provocar resentimiento potencial en la oposición al no incluirlos en la celebración.,DISCURSO_048_FR_015,DISCURSO_048
Partido político de Javier Milei y su base electoral (tipo: prodestinatario),orgullo,potencial,"El discurso alogia a los graduados como guía para la patria, lo que puede generar orgullo en el partido y su base por la asociación con valores de servicio y liderazgo.",DISCURSO_048_FR_016,DISCURSO_048
Partido político de Javier Milei y su base electoral (tipo: prodestinatario),motivación,potencial,"Al presentar a los oficiales como el norte, el discurso inspira a la base a seguir apoyando y comprometerse con la causa.",DISCURSO_048_FR_016,DISCURSO_048
Público general argentino (tipo: paradestinatario),orgullo,potencial,El público general puede sentir orgullo al ver a sus compatriotas militares recibiendo reconocimiento y ser presentados como guías de la patria.,DISCURSO_048_FR_016,DISCURSO_048
Público general argentino (tipo: paradestinatario),inspiración,potencial,El discurso motiva al público a valorar el servicio militar y a aspirar a una vida guiada por valores patrióticos.,DISCURSO_048_FR_016,DISCURSO_048
Oposición política (la casta política) (tipo: contradestinatario),indignación,potencial,"La oposición puede percibir la exaltación militar como una crítica a la casta política, generando indignación ante la polarización.",DISCURSO_048_FR_016,DISCURSO_048
Oposición política (la casta política) (tipo: contradestinatario),miedo,potencial,El discurso que eleva al ejército puede generar temor en la oposición al sentir que su posición política está siendo desafiada.,DISCURSO_048_FR_016,DISCURSO_048
Partido político de Javier Milei y su base electoral,orgullo,potencial,"El discurso sugiere que los graduados harán que todos los argentinos de bien se sientan orgullosos, generando una expectativa de orgullo en el partido y su base.",DISCURSO_048_FR_017,DISCURSO_048
Partido político de Javier Milei y su base electoral,esperanza,potencial,"El hablante expresa confianza en que los graduados lograrán orgullo, lo que implica una esperanza de éxito para el partido.",DISCURSO_048_FR_017,DISCURSO_048
Partido político de Javier Milei y su base electoral,confianza,potencial,"El discurso indica que el hablante no duda de que los graduados lograrán orgullo, reflejando una confianza potencial en el futuro.",DISCURSO_048_FR_017,DISCURSO_048
Público general argentino,orgullo,potencial,"El discurso promete que los graduados harán que todos los argentinos de bien se sientan orgullosos, generando orgullo potencial en el público.",DISCURSO_048_FR_017,DISCURSO_048
Público general argentino,esperanza,potencial,"El hablante sugiere que los graduados lograrán orgullo, lo que crea una esperanza de orgullo futuro en el público.",DISCURSO_048_FR_017,DISCURSO_048
Público general argentino,confianza,potencial,"El discurso indica que el hablante no duda de que los graduados lograrán orgullo, lo que implica una confianza potencial en el futuro del público.",DISCURSO_048_FR_017,DISCURSO_048
Partido político de Javier Milei y su base electoral,orgullo,potencial,"El discurso destaca que el momento histórico carga las acciones y compromisos con un significado especial, lo que puede generar un sentimiento de orgullo potencial entre los partidarios.",DISCURSO_048_FR_018,DISCURSO_048
Partido político de Javier Milei y su base electoral,esperanza,potencial,"Al referirse al momento histórico como cargado de significado, se sugiere que las acciones futuras tendrán un impacto positivo, lo que puede inspirar esperanza potencial en el grupo.",DISCURSO_048_FR_018,DISCURSO_048
Público general argentino,curiosidad,potencial,"La invitación a referirse al momento histórico puede despertar curiosidad potencial en la audiencia general, motivándolos a reflexionar sobre el contexto.",DISCURSO_048_FR_018,DISCURSO_048
Público general argentino,esperanza,potencial,El énfasis en el significado especial de las acciones y compromisos puede generar una sensación de esperanza potencial entre el público general.,DISCURSO_048_FR_018,DISCURSO_048
Oposición política (la casta política),escepticismo,potencial,"La oposición puede percibir la afirmación del discurso como una declaración de valor que cuestiona su posición, generando escepticismo potencial sobre la validez de la interpretación histórica.",DISCURSO_048_FR_018,DISCURSO_048
Oposición política (la casta política),incredulidad,potencial,"Al presentar el momento histórico como cargado de significado especial, la oposición puede sentir incredulidad potencial ante la interpretación del presidente.",DISCURSO_048_FR_018,DISCURSO_048
Partido político de Javier Milei y su base electoral (prodestinatario),orgullo,potencial,"El enunciado destaca que ""hemos comenzado a revertir"" la realidad miserable impuesta por la casta política, lo que sugiere que el grupo partidario puede sentir orgullo por su esfuerzo y logros.",DISCURSO_048_FR_019,DISCURSO_048
Partido político de Javier Milei y su base electoral (prodestinatario),esperanza,potencial,"La frase indica que el proceso de reversión está en marcha, lo que puede generar esperanza en el futuro de la nación entre los partidarios.",DISCURSO_048_FR_019,DISCURSO_048
Partido político de Javier Milei y su base electoral (prodestinatario),satisfacción,potencial,El reconocimiento de que se ha empezado a revertir la realidad miserable sugiere una sensación de satisfacción con los avances logrados.,DISCURSO_048_FR_019,DISCURSO_048
Público general argentino (paradestinatario),esperanza,potencial,"El discurso señala que la realidad miserable está siendo revertida, lo que puede inspirar esperanza en la población general.",DISCURSO_048_FR_019,DISCURSO_048
Público general argentino (paradestinatario),alivio,potencial,"Al mencionar que la realidad miserable se está cambiando, el público puede experimentar alivio ante la mejora de su situación.",DISCURSO_048_FR_019,DISCURSO_048
Público general argentino (paradestinatario),orgullo,potencial,El reconocimiento de un esfuerzo colectivo para revertir la mala realidad puede generar orgullo entre los ciudadanos.,DISCURSO_048_FR_019,DISCURSO_048
Público general argentino (paradestinatario),ira,potencial,La crítica a la casta política que impuso una realidad miserable puede provocar ira en la audiencia general.,DISCURSO_048_FR_019,DISCURSO_048
Oposición política (la casta política) (contradestinatario),ira,potencial,"El discurso acusa a la casta política de imponer una realidad miserable, lo que puede generar ira en el grupo opositor al sentirse atacado.",DISCURSO_048_FR_019,DISCURSO_048
Oposición política (la casta política) (contradestinatario),frustración,potencial,La crítica pública a sus acciones puede provocar frustración en la oposición al percibir una pérdida de legitimidad.,DISCURSO_048_FR_019,DISCURSO_048
Oposición política (la casta política) (contradestinatario),indignación,potencial,"El discurso describe la imposición de una realidad miserable, lo que puede generar indignación en la oposición al sentir que se les acusa de injusticia.",DISCURSO_048_FR_019,DISCURSO_048
Partido político de Javier Milei y su base electoral (prodestinatario),indignación,potencial,"El discurso condena a la casta, calificándola de nefasto legado que fracturó la relación entre política y fuerzas armadas, lo que genera indignación potencial en el partido y su base al ver sus acciones criticadas.",DISCURSO_048_FR_020,DISCURSO_048
Público general argentino (paradestinatario),indignación,potencial,"El público percibe la crítica a la casta como una señal de que la relación política y militar ha sido fracturada, lo que provoca indignación potencial ante la acusación.",DISCURSO_048_FR_020,DISCURSO_048
Oposición política (la casta política) (contradestinatario),ira,potencial,"Al ser acusada de fracturar la relación entre política y fuerzas armadas, la casta puede experimentar ira o defensa ante la acusación, aunque la emoción no se expresa explícitamente en el discurso.",DISCURSO_048_FR_020,DISCURSO_048
Partido político de Javier Milei y su base electoral,Indignación,Potencial,"El discurso critica a la casta política por desprestigiar las fuerzas, lo que genera indignación potencial en el partido/base.",DISCURSO_048_FR_021,DISCURSO_048
Partido político de Javier Milei y su base electoral,Ira,Potencial,La acusación de desprestigio y la pérdida de años de desarrollo provocan potencial ira en el partido/base.,DISCURSO_048_FR_021,DISCURSO_048
Partido político de Javier Milei y su base electoral,Frustración,Potencial,"La frase menciona años valiosos perdidos, generando frustración potencial en el partido/base.",DISCURSO_048_FR_021,DISCURSO_048
Partido político de Javier Milei y su base electoral,Desilusión,Potencial,La pérdida de desarrollo sugiere desilusión potencial en el partido/base.,DISCURSO_048_FR_021,DISCURSO_048
Público general argentino,Indignación,Potencial,"El público general percibe la crítica a la casta política como injusta, provocando indignación potencial.",DISCURSO_048_FR_021,DISCURSO_048
Público general argentino,Ira,Potencial,La acusación de desprestigio genera ira potencial en el público general.,DISCURSO_048_FR_021,DISCURSO_048
Público general argentino,Frustración,Potencial,La pérdida de años de desarrollo provoca frustración potencial en el público general.,DISCURSO_048_FR_021,DISCURSO_048
Público general argentino,Desilusión,Potencial,La pérdida de desarrollo sugiere desilusión potencial en el público general.,DISCURSO_048_FR_021,DISCURSO_048
Partido político de Javier Milei y su base electoral (prodestinatario),alivio,potencial,"El uso de ""por suerte"" indica que la oposición no logró destruir el afecto, lo que genera una sensación de alivio en el grupo que comparte los valores del presidente.",DISCURSO_048_FR_022,DISCURSO_048
Partido político de Javier Milei y su base electoral (prodestinatario),orgullo,potencial,"El discurso celebra que el afecto a las fuerzas armadas permanece intacto, reforzando el orgullo del partido y su base por la continuidad de sus valores.",DISCURSO_048_FR_022,DISCURSO_048
Partido político de Javier Milei y su base electoral (prodestinatario),satisfacción,potencial,La afirmación de que el afecto persiste satisface la expectativa del grupo de que sus ideales y la relación con las fuerzas armadas se mantienen.,DISCURSO_048_FR_022,DISCURSO_048
Público general argentino (paradestinatario),reconfort,potencial,"El mensaje asegura al público que su afecto por las fuerzas armadas no ha sido destruido, lo que genera una sensación de reconfort.",DISCURSO_048_FR_022,DISCURSO_048
Público general argentino (paradestinatario),esperanza,potencial,"Al afirmar que el afecto persiste, el discurso alimenta la esperanza de que la relación entre la sociedad y las fuerzas armadas seguirá siendo positiva.",DISCURSO_048_FR_022,DISCURSO_048
Público general argentino (paradestinatario),orgullo,potencial,El público puede sentir orgullo al ver que su afecto por las fuerzas armadas es valorado y protegido.,DISCURSO_048_FR_022,DISCURSO_048
Oposición política (la casta política) (contradestinatario),decepción,potencial,El hecho de que la oposición no haya logrado destruir el afecto genera una sensación de decepción ante el fracaso de su objetivo.,DISCURSO_048_FR_022,DISCURSO_048
Oposición política (la casta política) (contradestinatario),frustración,potencial,El fracaso de la oposición en su intento de destruir el afecto puede provocar frustración por la imposibilidad de alcanzar su meta.,DISCURSO_048_FR_022,DISCURSO_048
Oposición política (la casta política) (contradestinatario),vergüenza,potencial,El hecho de que la oposición haya fracasado en su intento puede generar vergüenza por la pérdida de credibilidad ante la sociedad.,DISCURSO_048_FR_022,DISCURSO_048
Partido político de Javier Milei y su base electoral (tipo: prodestinatario),Orgullo,Potencial,"El discurso celebra el respeto y reconocimiento que merecen las fuerzas, generando un sentimiento de orgullo potencial entre el partido y su base.",DISCURSO_048_FR_023,DISCURSO_048
Partido político de Javier Milei y su base electoral (tipo: prodestinatario),Esperanza,Potencial,"Al afirmar que están dando vuelta la triste página y escribiendo una nueva, se evoca esperanza de un futuro mejor para el partido y su base.",DISCURSO_048_FR_023,DISCURSO_048
Partido político de Javier Milei y su base electoral (tipo: prodestinatario),Optimismo,Potencial,El tono positivo y la visión de una nueva era transmiten optimismo potencial al partido y su base.,DISCURSO_048_FR_023,DISCURSO_048
Partido político de Javier Milei y su base electoral (tipo: prodestinatario),Satisfacción,Potencial,Reconocer que las fuerzas merecen respeto sugiere una sensación de satisfacción potencial entre el partido y su base.,DISCURSO_048_FR_023,DISCURSO_048
Público general argentino (tipo: paradestinatario),Esperanza,Potencial,El mensaje de un nuevo comienzo y respeto a las fuerzas puede generar esperanza en la audiencia general.,DISCURSO_048_FR_023,DISCURSO_048
Público general argentino (tipo: paradestinatario),Optimismo,Potencial,El discurso transmite un tono optimista que puede inspirar optimismo en el público general.,DISCURSO_048_FR_023,DISCURSO_048
Público general argentino (tipo: paradestinatario),Orgullo,Potencial,El reconocimiento de las fuerzas puede provocar orgullo en el público general.,DISCURSO_048_FR_023,DISCURSO_048
Público general argentino (tipo: paradestinatario),Satisfacción,Potencial,El público puede sentir satisfacción al ver que las fuerzas reciben el respeto que merecen.,DISCURSO_048_FR_023,DISCURSO_048
Oposición política (la casta política) (tipo: contradestinatario),Indignación,Potencial,"El discurso critica la casta política por haber deteriorado la relación con las fuerzas, lo que puede provocar indignación potencial en la oposición.",DISCURSO_048_FR_023,DISCURSO_048
prodestinatario,orgullo,potencial,"La frase indica una acción de reconciliación que el partido percibe como logro político, generando orgullo potencial en su base.",DISCURSO_048_FR_024,DISCURSO_048
