actor,tipo,modo,justificacion,frase_idx,recorte_id,codigo
todos los argentinos,colectivo,explícito,referido directamente en la frase,18,DISCURSO_048_FR_019,DISCURSO_048
nosotros,colectivo,inferido,deducido del verbo 'hemos' que indica acción del sujeto implícito,18,DISCURSO_048_FR_019,DISCURSO_048
la casta,colectivo,explícito,"El término ""la casta"" se menciona explícitamente en la frase y se refiere a un grupo de personas (el grupo político).",19,DISCURSO_048_FR_020,DISCURSO_048
la política,colectivo,explícito,"El término ""la política"" aparece explícitamente como parte de la relación que se fracturó, indicando al colectivo de políticos o al sistema político.",19,DISCURSO_048_FR_020,DISCURSO_048
fuerzas armadas,colectivo,explícito,"El término ""fuerzas armadas"" se menciona explícitamente en la frase, refiriéndose al colectivo militar argentino.",19,DISCURSO_048_FR_020,DISCURSO_048
la casta política,colectivo,inferido,"El pronombre ‘los mismos’ hace referencia a la ‘casta política’ mencionada en el contexto previo; por tanto, se infiere que el sujeto que se dedicó a desprestigiar y diferenciar a las fuerzas es la casta política.",20,DISCURSO_048_FR_021,DISCURSO_048
las fuerzas armadas,colectivo,explícito,"La frase menciona explícitamente ‘nuestras fuerzas’ y ‘nuestras capacidades militares’, identificando a las fuerzas armadas como el objeto de la acción de desprestigiar y diferenciar, y como la entidad que perdió años valiosos en su desarrollo.",20,DISCURSO_048_FR_021,DISCURSO_048
la sociedad,colectivo,explícito,"El sustantivo ""sociedad"" aparece explícitamente en la frase como sujeto del verbo ""tiene"".",21,DISCURSO_048_FR_022,DISCURSO_048
las fuerzas armadas argentinas,colectivo,explícito,"El sustantivo ""fuerzas armadas argentinas"" aparece explícitamente en la frase como objeto de la preposición ""por"".",21,DISCURSO_048_FR_022,DISCURSO_048
nuestras fuerzas,colectivo,explícito,"La frase menciona explícitamente ""nuestras fuerzas"".",22,DISCURSO_048_FR_023,DISCURSO_048
las fuerzas armadas,colectivo,explícito,mencionado explícitamente en la frase objetivo,23,DISCURSO_048_FR_024,DISCURSO_048
la política,colectivo,explícito,mencionado explícitamente en la frase objetivo,23,DISCURSO_048_FR_024,DISCURSO_048
nueva camada de egresados,colectivo,explícito,"Mencionado directamente en la frase como ""nueva camada de egresados"".",24,DISCURSO_048_FR_025,DISCURSO_048
camaradas de mayor experiencia y rango,colectivo,explícito,"Mencionado directamente en la frase como ""camaradas de mayor experiencia y rango"".",24,DISCURSO_048_FR_025,DISCURSO_048
gobierno,institucional,explícito,"Mencionado directamente en la frase como ""un gobierno"".",24,DISCURSO_048_FR_025,DISCURSO_048
las tres fuerzas,colectivo,explícito,"Mencionado directamente en la frase como ""las tres fuerzas"".",24,DISCURSO_048_FR_025,DISCURSO_048
Roca,humano_individual,explícito,"Mencionado directamente en la frase ""nos dejaron roca y san martín"".",24,DISCURSO_048_FR_025,DISCURSO_048
San Martín,humano_individual,explícito,"Mencionado directamente en la frase ""nos dejaron roca y san martín"".",24,DISCURSO_048_FR_025,DISCURSO_048
camaradas de armas,colectivo,explícito,"El texto menciona directamente a ""camaradas de armas"" y a ""ustedes"" como el grupo al que se dirige.",27,DISCURSO_048_FR_028,DISCURSO_048
tiranía rosista,institucional,explícito,"El término ""tiranía rosista"" se refiere al régimen político de Juan Manuel de Rosas, una entidad institucional.",27,DISCURSO_048_FR_028,DISCURSO_048
la nación,institucional,explícito,El sujeto de la oración 'la nación cuenta con ustedes' es 'la nación'.,29,DISCURSO_048_FR_030,DISCURSO_048
los oficiales que hoy egresan,colectivo,explícito,El pronombre 'ustedes' y la expresión 'estimados oficiales que hoy egresan' refieren a este grupo.,29,DISCURSO_048_FR_030,DISCURSO_048
nación,colectivo,explícito,"referido directamente en la frase ""la nación""",30,DISCURSO_048_FR_031,DISCURSO_048
nuevos oficiales,colectivo,inferido,"deducido del contexto previo que indica que ""ustedes"" se refiere a los oficiales egresados",30,DISCURSO_048_FR_031,DISCURSO_048
los hombres y mujeres de nuestras fuerzas armadas,colectivo,explícito,explicitly mentioned in the phrase,31,DISCURSO_048_FR_032,DISCURSO_048
nuestros nuevos oficiales,colectivo,explícito,explicitly mentioned in the phrase,31,DISCURSO_048_FR_032,DISCURSO_048
hombres y mujeres de nuestras fuerzas armadas,colectivo,inferido,El pronombre 'ellos' en la frase se refiere a los hombres y mujeres de nuestras fuerzas armadas mencionados en la frase anterior; la responsabilidad recae sobre ellos.,32,DISCURSO_048_FR_033,DISCURSO_048
nueva camada,colectivo,explícito,El sustantivo 'camada' aparece explícitamente en la frase como objeto de la acción de educar.,32,DISCURSO_048_FR_033,DISCURSO_048
los graduados,colectivo,explícito,"El sujeto de la oración ""los graduados"" aparece explícitamente en la frase objetivo.",33,DISCURSO_048_FR_034,DISCURSO_048
families of the officers,colectivo,explícito,explicitly mentioned as 'los familiares de nuestros oficiales',34,DISCURSO_048_FR_035,DISCURSO_048
military officers,colectivo,explícito,explicitly mentioned as 'nuestros oficiales',34,DISCURSO_048_FR_035,DISCURSO_048
Dios,humano_individual,explícito,"El término ""Dios"" aparece explícitamente como sujeto de la acción de bendición en la frase.",36,DISCURSO_048_FR_037,DISCURSO_048
las fuerzas del cielo,colectivo,explícito,"La expresión ""las fuerzas del cielo"" se menciona explícitamente como sujeto de la acción de acompañar en la frase.",36,DISCURSO_048_FR_037,DISCURSO_048
todos,colectivo,explícito,El pronombre 'todos' aparece directamente en la frase y se refiere al público presente al que se dirige el discurso.,37,DISCURSO_048_FR_038,DISCURSO_048
patria,colectivo,explícito,La palabra 'patria' se menciona en la exclamación '¡viva la patria!' y representa a la nación como entidad colectiva.,37,DISCURSO_048_FR_038,DISCURSO_048
los egresados,colectivo,inferido,"El pronombre indirecto ""les"" hace referencia a los nuevos egresados mencionados en el contexto previo.",25,DISCURSO_048_FR_026,DISCURSO_048
cada cual,colectivo,explícito,"El sujeto de la oración ""se desempeñe"" es la expresión ""cada cual"", que se refiere a cada individuo del grupo.",25,DISCURSO_048_FR_026,DISCURSO_048
ustedes,colectivo,explícito,Pronombre personal 'ustedes' que se refiere a los nuevos oficiales/gradados del Colegio Militar.,28,DISCURSO_048_FR_029,DISCURSO_048
