foria,justificacion,recorte_id,experienciador,tipo_emocion
aforico,"El sentimiento de respeto se expresa de manera neutral, sin tono de alegría ni malestar, por lo que se clasifica como afórico.",DISCURSO_048_FR_012,Presidente Javier Milei,respeto
Eufórico,"La emoción identificada es anticipación, y el contexto del discurso es claramente positivo: la entrega de los sables simboliza principios y valores heroicos. La expectativa de un evento favorable genera una sensación de entusiasmo y satisfacción, lo que la coloca dentro de la categoría eufórica según las heurísticas de tonalidad afectiva.",DISCURSO_048_FR_012,Presidente Javier Milei,anticipación
euforico,"El discurso expresa orgullo y celebración por la entrega de juramentos y el compromiso de los oficiales con la nación, lo que indica un tono positivo y de satisfacción, característico de una emoción eufórica.",DISCURSO_048_FR_014,Presidente Javier Milei,orgullo
Eufórico,"La emoción identificada es esperanza, la cual se expresa mediante una visión positiva y optimista del futuro. El discurso menciona un juramento que comprometerá a los oficiales a una vida entera de servicio a la nación, proyectando un futuro favorable y lleno de propósito. Este tono positivo, orientado a la satisfacción y al logro de metas colectivas, se alinea con la categoría eufórica, caracterizada por alegría, entusiasmo y satisfacción.",DISCURSO_048_FR_014,Presidente Javier Milei,esperanza
Eufórico,"El discurso enfatiza la fidelidad a la constitución y el compromiso de los oficiales con una vida de servicio a la nación, lo que refleja una actitud de determinación positiva y entusiasmo por la misión, caracterizando la emoción como eufórica.",DISCURSO_048_FR_014,Presidente Javier Milei,determinación
Afórico,"La solemnidad se caracteriza por un tono serio y reverente, sin una carga emocional positiva ni negativa marcada. En el discurso se describe la ceremonia con un tono solemne, reflejando una actitud de respeto y seriedad que se alinea con una emoción neutra, por lo tanto se clasifica como afórico.",DISCURSO_048_FR_014,Presidente Javier Milei,solemnidad
Eufórico,"La emoción de reverencia expresada en el discurso se percibe como una actitud de respeto y solemnidad hacia la Constitución y la nación, lo cual implica una valoración positiva y de admiración. Dado que la reverencia se asocia con una tonalidad afectiva positiva y de estima, se clasifica dentro del rango eufórico según las heurísticas de foria.",DISCURSO_048_FR_014,Presidente Javier Milei,reverencia
euforico,"El discurso expresa orgullo, un sentimiento positivo de satisfacción y orgullo por la tradición militar y los valores de orden, valor y gloria. La expresión de orgullo se alinea con la tonalidad afectiva eufórica, caracterizada por alegría, entusiasmo y satisfacción.",DISCURSO_048_FR_015,Presidente Javier Milei,orgullo
euforico,"La emoción de esperanza expresada en el discurso es positiva y motivadora, lo que la clasifica como eufórica según la tonalidad afectiva.",DISCURSO_048_FR_015,Presidente Javier Milei,esperanza
euforico,"La emoción de determinación expresada en el discurso implica un impulso positivo y resolutivo, caracterizado por entusiasmo y firmeza para cumplir con los preceptos citados. Este tono de motivación y energía positiva se alinea con la categoría eufórica, que engloba emociones de alegría, entusiasmo o satisfacción, aunque no necesariamente de euforia extrema. No se detectan elementos negativos ni neutros que sugieran disfórico, afórico o ambifórico.",DISCURSO_048_FR_015,Presidente Javier Milei,determinación
aforico,"La reverencia expresa un respeto solemne y una admiración profunda sin manifestar una alegría explícita ni un malestar. Su tono es más bien neutro en cuanto a polaridad afectiva, por lo que se clasifica como afórico según la ontología proporcionada.",DISCURSO_048_FR_015,Presidente Javier Milei,reverencia
euforico,"El orgullo es una emoción positiva que expresa satisfacción y admiración, por lo que se clasifica como eufórico.",DISCURSO_048_FR_016,Presidente Javier Milei,orgullo
Eufórico,"El discurso expresa un sentimiento de orgullo y entusiasmo por servir a la patria, lo cual se interpreta como una emoción de tono positivo y alegría, caracterizando así la emoción de patriotismo como eufórica.",DISCURSO_048_FR_016,Presidente Javier Milei,patriotismo
aforico,"La emoción de determinación se caracteriza por una actitud resolutiva y orientada a la acción sin una carga emocional positiva o negativa evidente, por lo que se clasifica como afórica.",DISCURSO_048_FR_016,Presidente Javier Milei,determinación
Eufórico,"El enunciador expresa certeza y confianza, lo que indica un tono positivo y de satisfacción, característico de una emoción eufórica.",DISCURSO_048_FR_017,Presidente Javier Milei,confianza
Eufórico,"La expresión de esperanza en el discurso muestra una expectativa positiva y optimista sobre el futuro, lo que se alinea con la tonalidad afectiva eufórica. El hablante transmite entusiasmo y confianza en que los graduados lograrán generar orgullo entre los argentinos, caracterizando así una emoción de tono positivo y alegre.",DISCURSO_048_FR_017,Presidente Javier Milei,esperanza
euforico,"El enunciador expresa orgullo al reconocer la importancia del momento histórico, lo que implica una valoración positiva y de satisfacción, caracterizando la emoción como eufórica.",DISCURSO_048_FR_018,Presidente Javier Milei,orgullo
aforico,"La emoción de responsabilidad se percibe como neutra, sin polaridad positiva o negativa clara, por lo que se clasifica como afórico.",DISCURSO_048_FR_018,Presidente Javier Milei,responsabilidad
Disfórico,"El enunciador expresa indignación al afirmar que la casta política impuso una realidad miserable a los argentinos, lo cual es una emoción negativa y de malestar.",DISCURSO_048_FR_019,Presidente Javier Milei,indignación
Disfórico,"La emoción identificada es frustración, la cual se caracteriza por un tono negativo de malestar y descontento ante una situación percibida como injusta o limitante. En el discurso, Milei expresa descontento al señalar que la casta política ha impuesto una realidad miserable durante demasiado tiempo, lo que indica claramente una valoración negativa y de malestar, por lo que la foria correspondiente es disfórica.",DISCURSO_048_FR_019,Presidente Javier Milei,frustración
euforico,"La emoción de esperanza implica una expectativa positiva y optimista sobre el futuro. En el discurso se expresa que ""hemos comenzado a revertir"" la situación, lo que denota un cambio favorable y la creencia de que las cosas mejorarán. Este tono positivo y entusiasta corresponde al carácter eufórico según la ontología y las heurísticas de inferencia de foria.",DISCURSO_048_FR_019,Presidente Javier Milei,esperanza
Eufórico,"El discurso muestra determinación y entusiasmo al enfatizar el esfuerzo colectivo para revertir una realidad miserable, lo que indica una tonalidad positiva y de satisfacción.",DISCURSO_048_FR_019,Presidente Javier Milei,determinación
Disfórico,"La expresión de indignación implica una reacción moral negativa y de malestar frente a la acción descrita. El uso de términos como ""legados nefastos"" y la condena explícita de la fractura entre la política y las fuerzas armadas revelan una tonalidad afectiva claramente desfavorable, lo que corresponde al carácter disfórico según la ontología y las heurísticas proporcionadas.",DISCURSO_048_FR_020,Presidente Javier Milei,indignación
Disfórico,"La frase expresa descontento y enojo al afirmar que la casta ha fracturado la relación entre la política y las fuerzas armadas, lo que indica una emoción negativa y de malestar, caracterizando la ira como disfórica.",DISCURSO_048_FR_020,Presidente Javier Milei,ira
disforico,"La indignación expresada por el presidente Javier Milei refleja una reacción de malestar y desagrado ante la hipocresía percibida, lo que indica una tonalidad afectiva negativa típica de emociones disfóricas.",DISCURSO_048_FR_021,Presidente Javier Milei,Indignación
Disfórico,"La expresión de frustración implica un tono negativo, señalando pérdida de tiempo y recursos, lo que corresponde a una emoción de malestar o desagrado, caracterizada como disfórica.",DISCURSO_048_FR_021,Presidente Javier Milei,Frustración
disforico,"El sentimiento de resentimiento expresado en el discurso es una emoción negativa, marcada por malestar y desagrado hacia los responsables de la conducta descrita. Por lo tanto, se clasifica como disfórico.",DISCURSO_048_FR_021,Presidente Javier Milei,Resentimiento
Disfórico,"La frase expresa una pérdida de años valiosos y una crítica a la falta de apoyo político, lo que indica un tono negativo y de malestar característico de la emoción de decepción.",DISCURSO_048_FR_021,Presidente Javier Milei,Decepción
euforico,"El uso de la expresión ""por suerte"" y la afirmación de que no lograron destruir el afecto persistente de la sociedad por las fuerzas armadas indica que el presidente siente alivio por la preservación de ese valor, lo cual se interpreta como una emoción de tono positivo y satisfacción, caracterizando un estado eufórico.",DISCURSO_048_FR_022,Presidente Javier Milei,Alivio
euforico,"El enunciado expresa orgullo y satisfacción al afirmar que sus fuerzas reciben el respeto y reconocimiento que merecen, lo cual refleja una tonalidad afectiva positiva y entusiasta, característica de la emoción eufórica.",DISCURSO_048_FR_023,Presidente Javier Milei,Orgullo
euforico,"El discurso expresa esperanza y optimismo al afirmar que están ""dando vuelta esta triste página"" y ""comenzamos a escribir una nueva"" con respeto y reconocimiento. La tonalidad es claramente positiva, llena de entusiasmo y satisfacción por el futuro, lo que corresponde a la categoría eufórica.",DISCURSO_048_FR_023,Presidente Javier Milei,Esperanza
euforico,"El discurso expresa un sentimiento de alivio al dejar atrás una ""triste página"" y comenzar a escribir una nueva con respeto y reconocimiento. La tonalidad es claramente positiva, con entusiasmo y satisfacción por el cambio, lo que corresponde a la categoría eufórica según la ontología y las heurísticas de inferencia.",DISCURSO_048_FR_023,Presidente Javier Milei,Alivio
Eufórico,"El enunciador muestra determinación al afirmar que están comenzando a escribir una nueva página, lo cual implica una actitud positiva y entusiasta hacia el futuro, caracterizando una emoción eufórica.",DISCURSO_048_FR_023,Presidente Javier Milei,Determinación
euforico,"El discurso expresa un tono positivo y esperanzador al afirmar que se está ""dando vuelta esta triste página"" y comenzando a escribir una nueva, donde las fuerzas reciben el respeto y reconocimiento que merecen. La referencia a un futuro mejor y la celebración de logros generan alegría y entusiasmo, características típicas de una emoción eufórica.",DISCURSO_048_FR_023,Presidente Javier Milei,Optimismo
euforico,"El enunciado expresa una sensación de satisfacción y orgullo al afirmar que sus fuerzas reciben el respeto y reconocimiento que merecen, lo cual refleja un tono positivo y alegre, característico de una emoción eufórica.",DISCURSO_048_FR_023,Presidente Javier Milei,Satisfacción
euforico,"La emoción identificada es orgullo, la cual se caracteriza por una sensación de satisfacción y logro. Este sentimiento positivo y de entusiasmo se alinea con la definición de eufórico, ya que implica alegría y satisfacción ante la acción de reconciliar las fuerzas armadas con la política.",DISCURSO_048_FR_024,Presidente Javier Milei,orgullo
euforico,"La emoción de satisfacción se interpreta como positiva, por lo que se clasifica como eufórico.",DISCURSO_048_FR_024,Presidente Javier Milei,satisfacción
Eufórico,"El discurso expresa una expectativa positiva y optimista sobre la relación entre las fuerzas armadas y la política, lo que indica un tono de esperanza y entusiasmo, característico de una emoción eufórica.",DISCURSO_048_FR_024,Presidente Javier Milei,esperanza
Eufórico,"El discurso expresa una visión positiva y optimista al afirmar la reconciliación entre las fuerzas armadas y la política, lo que indica un tono de alegría, entusiasmo y satisfacción característico de una emoción eufórica.",DISCURSO_048_FR_024,Presidente Javier Milei,optimismo
Eufórico,"El discurso expresa una confianza positiva y de seguridad en la capacidad del gobierno para cumplir con sus promesas, lo que se interpreta como una tonalidad afectiva de satisfacción y entusiasmo, característicos de la categoría eufórica.",DISCURSO_048_FR_025,Presidente Javier Milei,confianza
Eufórico,"La expresión ""hará todo lo que esté a su alcance"" refleja una actitud decidida y comprometida, caracterizada por entusiasmo y una fuerte voluntad de lograr objetivos. Este tono positivo y de energía activa se alinea con la definición de eufórico, que engloba emociones de alegría, entusiasmo o satisfacción. En ausencia de indicios de malestar o neutralidad, la determinación se interpreta como una manifestación de eufórico.",DISCURSO_048_FR_025,Presidente Javier Milei,determinación
euforico,"El discurso expresa orgullo y satisfacción al honrar el legado de Roca y San Martín, lo que indica una tonalidad afectiva positiva y entusiasta, característica de la emoción eufórica.",DISCURSO_048_FR_025,Presidente Javier Milei,orgullo
Eufórico,"El discurso expresa una visión positiva y optimista sobre el futuro de la nueva camada de egresados, resaltando la presencia de un gobierno que los acompañará y hará todo lo posible para jerarquizar las fuerzas. El tono está cargado de esperanza, entusiasmo y confianza en un resultado favorable, lo que corresponde a la categoría eufórica según la ontología y las heurísticas de tonalidad afectiva.",DISCURSO_048_FR_025,Presidente Javier Milei,esperanza
Eufórico,"El discurso expresa una actitud optimista y de apoyo, con afirmaciones de que el gobierno acompañará y hará todo lo posible para respaldar a los egresados. El tono es positivo, esperanzador y entusiasta, lo que corresponde a la categoría eufórica según la ontología y las heurísticas de tonalidad afectiva.",DISCURSO_048_FR_025,Presidente Javier Milei,optimismo
Disfórico,"El enunciador expresa preocupación por los desafíos que atraviesa la patria, lo cual indica un tono negativo de malestar y preocupación, característico de una emoción disfórica.",DISCURSO_048_FR_026,Presidente Javier Milei,concern
Afórico,"La emoción identificada es determinación, la cual se expresa como un impulso positivo de acción y responsabilidad sin connotaciones de alegría extrema ni de malestar. En el discurso se enfatiza la necesidad de coraje, decisión y responsabilidad, lo que indica un tono neutro en cuanto a polaridad emocional, por lo que se clasifica como afórico.",DISCURSO_048_FR_026,Presidente Javier Milei,determination
euforico,"El enunciador expresa orgullo por la historia y la identidad nacional, lo que indica una emoción positiva y de satisfacción, por lo tanto es eufórica.",DISCURSO_048_FR_027,Presidente Javier Milei,orgullo
Afórico,"El respeto se caracteriza por una valoración positiva sin la intensidad de alegría o entusiasmo, por lo que se clasifica como afórico.",DISCURSO_048_FR_027,Presidente Javier Milei,respet
euforico,"El enunciador expresa orgullo y satisfacción por la misión cumplida, lo que indica un tono positivo y alegre, característico de una emoción eufórica.",DISCURSO_048_FR_028,Presidente Javier Milei,orgullo
euforico,"La frase ""prevalecer contra la tiranía rosista"" expresa una firme intención y voluntad de vencer, lo que refleja un tono positivo de entusiasmo y determinación. Este carácter positivo se alinea con la categoría eufórica, que engloba emociones de alegría, entusiasmo o satisfacción, aunque en este caso la emoción sea la determinación activa de superar una adversidad.",DISCURSO_048_FR_028,Presidente Javier Milei,determinación
Disfórico,"La indignación es una emoción negativa que expresa descontento, enojo y rechazo ante una injusticia. En el discurso se critica la ""tiranía rosista"", lo que indica un tono de malestar y desagrado, característico de la polaridad disfórica.",DISCURSO_048_FR_028,Presidente Javier Milei,indignación
Eufórico,"El discurso expresa un deseo positivo y motivador de que la memoria inspire a los graduados a dar lo mejor de sí, lo cual refleja una tonalidad de esperanza y entusiasmo, característicos de una emoción eufórica.",DISCURSO_048_FR_029,Presidente Javier Milei,esperanza
Eufórico,"El enunciador expresa confianza, una emoción positiva que se manifiesta con entusiasmo y satisfacción al afirmar que la nación cuenta con los oficiales egresados, indicando una valoración favorable y una expectativa de buen desempeño.",DISCURSO_048_FR_030,Presidente Javier Milei,confianza
aforico,"La emoción de confianza es positiva pero no implica alegría o entusiasmo explícito; se caracteriza por una postura neutral de seguridad, por lo que se clasifica como afórico según la ontología.",DISCURSO_048_FR_031,Presidente Javier Milei,confianza
Eufórico,"El enunciador expresa gratitud hacia las fuerzas armadas, lo que implica una emoción positiva y de agradecimiento, caracterizada por tono de satisfacción y reconocimiento. Dado que la gratitud se manifiesta como una valoración positiva y de aprecio, se clasifica dentro del carácter fórico eufórico.",DISCURSO_048_FR_032,Presidente Javier Milei,gratitud
euforico,"La frase expresa un reconocimiento positivo y de gratitud hacia las fuerzas armadas, lo que indica una tonalidad afectiva positiva. Aunque no se manifiesta explícitamente alegría o entusiasmo, la emoción de respeto se interpreta como una forma de satisfacción y valoración positiva, por lo que se clasifica dentro del rango eufórico según las heurísticas disponibles.",DISCURSO_048_FR_032,Presidente Javier Milei,respeto
euforico,"El discurso expresa orgullo y satisfacción al reconocer la contribución de las fuerzas armadas a la formación de nuevos oficiales, lo cual refleja un tono positivo y alegre característico de una emoción eufórica.",DISCURSO_048_FR_032,Presidente Javier Milei,orgullo
euforico,"La mención expresa admiración, una emoción positiva que implica respeto y satisfacción hacia las fuerzas armadas. Dado que la admiración se asocia con un tono afectivo positivo y de reconocimiento, se clasifica como eufórico según la ontología de foria.",DISCURSO_048_FR_032,Presidente Javier Milei,admiración
Eufórico,"La expresión ""espero que los graduados los hagan sentir orgullosos"" refleja una expectativa positiva y optimista sobre un resultado futuro, característica típica de la emoción de esperanza. Dado que la esperanza se asocia con un tono afectivo positivo y de anticipación favorable, se clasifica como eufórica según la ontología y las heurísticas proporcionadas.",DISCURSO_048_FR_034,Presidente Javier Milei,esperanza
euforico,"El enunciador expresa agradecimiento, una emoción positiva y de satisfacción, lo que indica un carácter eufórico.",DISCURSO_048_FR_035,Presidente Javier Milei,gratitud
Eufórico,"El enunciador expresa un deseo de felicidad para los oyentes, lo que refleja una emoción positiva y de satisfacción. La expresión ""les deseo que tengan una feliz navidad"" indica alegría y entusiasmo, características típicas de una emoción eufórica.",DISCURSO_048_FR_036,Presidente Javier Milei,felicidad
Eufórico,"El discurso expresa un deseo de felicidad y alienta a planificar en grande para el próximo año, lo que refleja entusiasmo y satisfacción con el futuro, características típicas de una emoción eufórica.",DISCURSO_048_FR_036,Presidente Javier Milei,optimismo
Eufórico,"El enunciado expresa una esperanza positiva de bendición divina y acompañamiento celestial, lo que indica un tono afórico positivo. Por lo tanto, la emoción de esperanza se clasifica como eufórica.",DISCURSO_048_FR_037,Presidente Javier Milei,esperanza
Afórico,"La emoción de confianza se caracteriza por una actitud positiva y de seguridad, pero no implica necesariamente alegría o entusiasmo extremo; por lo tanto, se clasifica como afórica, neutra en cuanto a polaridad emocional.",DISCURSO_048_FR_037,Presidente Javier Milei,confianza
euforico,"El enunciador expresa agradecimiento explícito con ""muchas gracias"", acompañado de felicitaciones y un llamado a la patria, lo cual refleja alegría, entusiasmo y satisfacción. Estas expresiones de gratitud y celebración corresponden a un tono afectivo positivo, por lo que la emoción se clasifica como eufórica.",DISCURSO_048_FR_038,Presidente Javier Milei,gratitud
euforico,"El discurso expresa alegría y celebración, con expresiones de felicitación y entusiasmo, lo que indica una emoción de tono positivo y satisfacción.",DISCURSO_048_FR_038,Presidente Javier Milei,felicidad
Eufórico,"El sentimiento de orgullo expresado en la frase ""¡viva la patria!"" se manifiesta como entusiasmo y alegría patriótica, lo cual corresponde a la tonalidad positiva y de satisfacción caracterizada por la categoría eufórica.",DISCURSO_048_FR_038,Presidente Javier Milei,orgullo
Eufórico,"El orgullo es una emoción positiva que refleja satisfacción y orgullo, por lo que se clasifica como eufórico.",DISCURSO_048_FR_001,Partido político de Javier Milei y su base electoral,orgullo
euforico,"El saludo ""buenas tardes a todos"" es una expresión de bienvenida que transmite cordialidad, apertura y un tono positivo hacia la audiencia. No contiene elementos de malestar ni neutralidad, sino que refleja entusiasmo y satisfacción al recibir a los presentes, lo que lo clasifica como una emoción eufórica según la ontología y las heurísticas proporcionadas.",DISCURSO_048_FR_001,Público general argentino,bienvenida
aforico,"La emoción identificada es indiferencia, la cual carece de tono positivo o negativo evidente. Según las reglas heurísticas, las emociones neutras sin polaridad clara se clasifican como afórico. Por lo tanto, la FORIA correspondiente es afórico.",DISCURSO_048_FR_001,Oposición política (la casta política),indiferencia
disforico,"La emoción identificada es indignación, la cual se caracteriza por un tono negativo y de malestar ante una injusticia, por lo que corresponde al foria disfórico según la ontología y las heurísticas proporcionadas.",DISCURSO_048_FR_002,prodestinatario,indignación
Ambifórico,"El discurso expresa solidaridad (emoción positiva) con la víctima de un secuestro ilegal (evento negativo), resultando en una mezcla de tonalidades positivas y negativas.",DISCURSO_048_FR_002,prodestinatario,solidaridad
Disfórico,"La indignación es una emoción negativa que expresa malestar y descontento ante una injusticia, por lo que su carácter fórico se clasifica como disfórico.",DISCURSO_048_FR_002,paradestinatario,indignación
Disfórico,"La emoción identificada es preocupación, la cual expresa un tono negativo de malestar o inquietud respecto a la seguridad de ciudadanos argentinos en el extranjero. Según la ontología y las heurísticas, las emociones de tipo preocupación se clasifican como disfórico.",DISCURSO_048_FR_002,paradestinatario,preocupación
Disfórico,"La indignación es una emoción negativa que expresa malestar y descontento ante una injusticia, por lo que se clasifica como disfórica.",DISCURSO_048_FR_002,contradestinatario,indignación
Disfórico,"El discurso condena un secuestro ilegal, lo que genera una respuesta defensiva negativa; la emoción identificada (defensa) se caracteriza por un tono de malestar y oposición, por lo que su foria es disfórica.",DISCURSO_048_FR_002,contradestinatario,defensa
Disfórico,"La indignación es una emoción negativa que expresa descontento, enojo o frustración ante una situación percibida como injusta o injustificada. En el discurso se critica la acción de las fuerzas de seguridad y se condena al dictador, lo que genera un tono de malestar y desagrado, característico de la polaridad disfórica.",DISCURSO_048_FR_003,prodestinatario,indignación
Disfórico,"La emoción identificada es ira, la cual se caracteriza por un tono negativo, de malestar y descontento. En el discurso se expresa una crítica violenta y acusatoria hacia las fuerzas de seguridad y el dictador, lo que refuerza la polaridad negativa típica de la ira. Por lo tanto, la foria correspondiente es disfórica.",DISCURSO_048_FR_003,prodestinatario,ira
euforico,"El orgullo expresado en el discurso es positivo y celebratorio, reflejando satisfacción y entusiasmo por la defensa de la libertad, lo que lo clasifica como eufórico.",DISCURSO_048_FR_003,prodestinatario,orgullo
Disfórico,"La indignación es una emoción negativa que expresa descontento, enojo o frustración ante una injusticia percibida. En el contexto del discurso, el público argentino se siente indignado por la represión injusta, lo que indica un tono de malestar y desagrado, característico de la categoría disfórica.",DISCURSO_048_FR_003,paradestinatario,indignación
Disfórico,"La emoción identificada es ira, la cual es una emoción negativa que expresa malestar y desagrado. En el discurso se critica a las fuerzas de seguridad y al dictador, generando una tonalidad claramente desfavorable y hostil, lo que corresponde al carácter disfórico según la ontología y las heurísticas proporcionadas.",DISCURSO_048_FR_003,paradestinatario,ira
Disfórico,"La emoción de empatía aquí se dirige hacia la víctima que sufre una injusticia, lo que genera un tono negativo y de malestar, caracterizando una emoción disfórica.",DISCURSO_048_FR_003,paradestinatario,empatía
Disfórico,"La emoción de indignación se caracteriza por un tono negativo y de malestar, reflejado en la crítica y el descontento expresados en la frase.",DISCURSO_048_FR_003,contradestinatario,indignación
Disfórico,"La frustración es una emoción negativa que expresa malestar o insatisfacción, por lo que se clasifica como disfórica según la tonalidad afectiva.",DISCURSO_048_FR_003,contradestinatario,frustración
Disfórico,"La frase expresa indignación ante la injusticia percibida, lo que constituye una emoción negativa y de malestar, caracterizando así un tono disfórico.",DISCURSO_048_FR_004,Partido político de Javier Milei y su base electoral (prodestinatario),indignación
Afórico,"La emoción identificada es determinación, la cual se caracteriza por una voluntad firme y resoluta de actuar sin implicar necesariamente alegría ni malestar. En la frase ""exigimos su liberación inmediata y agotaremos todas las vías diplomáticas para devolverlo sano y salvo a la argentina"", se observa un tono de firmeza y propósito, pero no se expresa entusiasmo ni desagrado, lo que la coloca en la categoría neutra o afórica según la ontología propuesta.",DISCURSO_048_FR_004,Partido político de Javier Milei y su base electoral (prodestinatario),determinación
Eufórico,"La emoción de esperanza expresada en el discurso implica una expectativa positiva de resolución y la promesa de devolver al secuestrado sano y salvo genera un tono de optimismo y satisfacción, lo cual se alinea con la categoría eufórica según la ontología y las heurísticas de tonalidad afectiva.",DISCURSO_048_FR_004,Público general argentino (paradestinatario),esperanza
Disfórico,"La emoción de frustración se caracteriza por un tono negativo y de malestar, reflejado en la exigencia de liberación y la amenaza de usar vías diplomáticas, lo que indica una actitud de descontento y tensión.",DISCURSO_048_FR_004,Oposición política (la casta política) (contradestinatario),frustración
Eufórico,"El discurso muestra un tono de reconocimiento y celebración hacia los logros militares, con expresiones de saludo y agradecimiento que reflejan satisfacción y orgullo. Estas características corresponden a una emoción de tono positivo, alegría o satisfacción, por lo que la emoción de orgullo se clasifica como eufórica.",DISCURSO_048_FR_005,Partido político de Javier Milei y su base electoral,pride
afórico,"El sentimiento de respeto expresado en el discurso es una emoción positiva pero no implica alegría, entusiasmo ni satisfacción intensa, por lo que no encaja con la categoría eufórica. Tampoco presenta elementos de malestar o negatividad, descartando la disfórica. Dado que el respeto se percibe como una valoración positiva sin una polaridad emocional marcada, se clasifica como afórica, es decir, una emoción neutra en cuanto a su intensidad tonal.",DISCURSO_048_FR_005,Partido político de Javier Milei y su base electoral,respect
