actor,tipo,modo,justificacion,frase_idx,recorte_id,codigo
Diego Recalde,humano_individual,inferido,"El vocativo 'querido' en la frase 'querido ¿cómo estás?' se refiere a la persona mencionada en la frase posterior 'está el queridísimo diego recalde', por lo que el actor representado es Diego Recalde.",454,DISCURSO_003_FR_017,DISCURSO_003
cuatro lobos,colectivo,explícito,El grupo de cuatro lobos es mencionado explícitamente como sujeto de la acción 'se juntan' en la frase objetivo.,472,DISCURSO_003_FR_035,DISCURSO_003
un modelo,colectivo,explícito,El modelo es el sujeto de la oración y agente de la acción 'deshizo'.,554,DISCURSO_003_FR_117,DISCURSO_003
Dios,humano_individual,explícito,El sujeto del verbo 'bendiga' en la frase 'que dios bendiga a los argentinos'.,578,DISCURSO_003_FR_141,DISCURSO_003
las fuerzas del cielo,colectivo,explícito,El sujeto del verbo 'acompañen' en la frase 'que las fuerzas del cielo los acompañen'.,578,DISCURSO_003_FR_141,DISCURSO_003
nosotros,colectivo,explícito,"El pronombre 'nosotros' aparece como sujeto de los verbos 'anunciamos' y 'vinimos', indicando un colectivo que incluye al enunciador y a su equipo.",584,DISCURSO_004_FR_003,DISCURSO_004
política,colectivo,explícito,referencia explícita en la frase 'en favor de la política',612,DISCURSO_004_FR_031,DISCURSO_004
este proyecto,institucional,explícito,Sujeto de la oración que establece la regla fiscal,644,DISCURSO_004_FR_063,DISCURSO_004
Argentina,colectivo,explícito,"referencia directa en la frase ""la argentina""",671,DISCURSO_004_FR_090,DISCURSO_004
la política,colectivo,explícito,"La expresión ""el camino predilecto de la política"" menciona a la política como colectivo que favorece ese camino.",679,DISCURSO_004_FR_098,DISCURSO_004
la política,colectivo,inferido,inferred from context where 'objeto inamovible' refers to 'la adicción de la política al gasto público sin respaldo',684,DISCURSO_004_FR_103,DISCURSO_004
dios,humano_individual,explícito,"El sustantivo 'dios' aparece como sujeto de la oración 'que dios bendiga', indicando un agente que realiza la acción.",699,DISCURSO_004_FR_118,DISCURSO_004
las fuerzas del cielo,colectivo,explícito,"El sustantivo 'fuerzas del cielo' aparece como sujeto de la oración 'que las fuerzas del cielo nos acompañen', indicando un agente que realiza la acción.",699,DISCURSO_004_FR_118,DISCURSO_004
los espacios,colectivo,explícito,referido explícitamente en la frase 'pocos medios o espacios' en los que me recibieran,704,DISCURSO_005_FR_004,DISCURSO_005
apoyo social,colectivo,explícito,sujeto de la oración principal 'hace a nuestras reformas sostenibles',711,DISCURSO_005_FR_011,DISCURSO_005
nosotros,colectivo,explícito,"""Nosotros"" es un pronombre de primera persona plural que se menciona explícitamente en la frase, representando al grupo del hablante.",749,DISCURSO_005_FR_049,DISCURSO_005
Argentina,institucional,explícito,explicitly referenced as the subject of 'se convierte' in the phrase,760,DISCURSO_005_FR_060,DISCURSO_005
política,institucional,explícito,referencia explícita en la frase 'no surgimos ni de la política ni del estado',789,DISCURSO_005_FR_089,DISCURSO_005
uno,humano_individual,explícito,referenciado por el pronombre 'uno' en la frase,821,DISCURSO_005_FR_121,DISCURSO_005
el mundo,colectivo,explícito,Referencia a la entidad colectiva 'el mundo' en la frase.,849,DISCURSO_005_FR_149,DISCURSO_005
el liberalismo,colectivo,explícito,El término 'el liberalismo' aparece directamente en la frase como sujeto de la condición 'para el liberalismo'.,852,DISCURSO_005_FR_152,DISCURSO_005
el colectivismo,colectivo,explícito,El término 'el colectivismo' aparece directamente en la frase como sujeto de la condición 'para el colectivismo'.,852,DISCURSO_005_FR_152,DISCURSO_005
los individuos,colectivo,explícito,El término 'los individuos' aparece explícitamente y se refiere a un conjunto de personas.,853,DISCURSO_005_FR_153,DISCURSO_005
speaker,humano_individual,inferido,"El pronombre 'voy' indica primera persona del singular, por lo que el actor es el hablante.",877,DISCURSO_005_FR_177,DISCURSO_005
provincias,institucional,explícito,El sustantivo 'provincias' se menciona explícitamente como parte de la acción de descuidar.,910,DISCURSO_005_FR_210,DISCURSO_005
yo,humano_individual,inferido,sujeto implícito en la oración 'un día vi pasar',913,DISCURSO_005_FR_213,DISCURSO_005
zombies,colectivo,inferido,"El pronombre 'ellos' se refiere a 'uno de estos zombies, parte de la secta' mencionado en la frase anterior, indicando que la propuesta de destrucción es realizada por ese grupo.",914,DISCURSO_005_FR_214,DISCURSO_005
las provincias,colectivo,explícito,"frase contiene ""las provincias""",922,DISCURSO_005_FR_222,DISCURSO_005
la elección,colectivo,inferido,"El sujeto tácito de la oración 'porque podría significar el fin del kirchnerismo' se infiere como la elección, ya que el contexto menciona 'esta elección es fundamental' y la frase sigue a esa referencia.",929,DISCURSO_005_FR_229,DISCURSO_005
candidaturas testimoniales,colectivo,inferido,"El verbo 'están llevando a cabo' tiene sujeto tácito; el contexto indica que la acción de la farsa y fraude moral es realizada por las candidaturas testimoniales, por lo que se infiere que son los actores responsables.",930,DISCURSO_005_FR_230,DISCURSO_005
dios,humano_individual,explícito,mencionado directamente como 'dios',940,DISCURSO_005_FR_240,DISCURSO_005
nosotros,colectivo,inferido,"Pronombre ""nosotros"" se refiere al hablante y a otros miembros del ministerio de economía, según el contexto.",959,DISCURSO_005_FR_259,DISCURSO_005
el central,institucional,explícito,"Mención explícita del término ""el central"" que se refiere al Banco Central.",959,DISCURSO_005_FR_259,DISCURSO_005
dios,humano_individual,explícito,El término 'dios' aparece directamente en la frase y se presenta como evaluador.,970,DISCURSO_005_FR_270,DISCURSO_005
el faro,institucional,inferido,"Sujeto tácito; el contexto indica que la frase describe las funciones de un faro, por lo que el sujeto implícito es 'el faro'.",977,DISCURSO_005_FR_277,DISCURSO_005
el sistema,institucional,explícito,mencionado directamente en la frase,985,DISCURSO_005_FR_285,DISCURSO_005
grupo de reformas,colectivo,explícito,"La frase menciona directamente ""este grupo de reformas"" como sujeto que tendrá el rol clave.",988,DISCURSO_005_FR_288,DISCURSO_005
