intensidad,justificacion,recorte_id,experienciador,tipo_emocion
Alta,"El discurso utiliza verbos fuertes como ""tomará"" y ""comprometerá"", además de la referencia a una ""vida entera de servicio a la nación"", lo que indica un compromiso firme y decidido. La mención de la fidelidad a la constitución nacional refuerza la determinación del presidente, lo que sugiere una intensidad alta de la emoción identificada.",DISCURSO_048_FR_014,Presidente Javier Milei,determinación
Alta,"El discurso describe una ceremonia formal de entrega de sables y juramentos con un tono solemne, resaltando el compromiso de una vida entera de servicio a la nación. El uso de expresiones como ""tomará juramento de fidelidad"" y la referencia a un compromiso permanente indican una emoción intensamente expresada y reverente, típica de la solemnidad en contextos ceremoniales. Por lo tanto, la intensidad de la emoción identificada se infiere como alta.",DISCURSO_048_FR_014,Presidente Javier Milei,solemnidad
Alta,"El discurso menciona un juramento de fidelidad a la constitución nacional, un acto solemne que implica una profunda reverencia hacia la ley y la patria. La referencia a un compromiso de vida entera de servicio a la nación refuerza la intensidad de la emoción, indicando un sentimiento fuerte y expresado con solemnidad.",DISCURSO_048_FR_014,Presidente Javier Milei,reverencia
Alta,"El discurso utiliza un lenguaje imperativo y evocador (“recuerden bien este día”, “graben en su memoria”) junto con la exaltación de valores fundamentales (“orden, valor y gloria”). La combinación de un llamado a la acción, la referencia a la tradición militar y la expresión de orgullo por la identidad y la historia sugiere una manifestación de la emoción de orgullo con alta intensidad.",DISCURSO_048_FR_015,Presidente Javier Milei,orgullo
Alta,"El presidente utiliza imperativos fuertes y una exhortación a internalizar valores, indicando una esperanza intensa de que los graduados adopten esos principios.",DISCURSO_048_FR_015,Presidente Javier Milei,esperanza
Alta,"El discurso utiliza imperativos fuertes (“recuerden”, “graben”) y enfatiza la importancia de memorizar los preceptos, reflejando una determinación firme y clara. La combinación de verbos de acción directa y la referencia a principios fundamentales indica una emoción intensamente expresada.",DISCURSO_048_FR_015,Presidente Javier Milei,determinación
Alta,"El discurso emplea un tono solemne y exhorta a los oyentes a ""recuerden bien este día"" y a ""graben en su memoria"" los preceptos de orden, valor y gloria. El uso de verbos imperativos, la referencia a la importancia histórica y la evocación de valores trascendentales generan una reverencia intensa y claramente expresada, lo que indica una intensidad alta.",DISCURSO_048_FR_015,Presidente Javier Milei,reverencia
Alta,"El enunciado utiliza la metáfora de ""el norte"" para describir al ejército como guía esencial para una vida de servicio a la patria, lo que denota un sentimiento de orgullo fuerte y claramente expresado por el presidente. La elección de palabras y la atribución de un papel central refuerzan la intensidad alta de la emoción.",DISCURSO_048_FR_016,Presidente Javier Milei,orgullo
Alta,"El discurso emplea una metáfora fuerte (“el norte”) y una llamada directa al servicio de la patria, lo que indica un sentimiento de patriotismo intensamente expresado.",DISCURSO_048_FR_016,Presidente Javier Milei,patriotismo
Baja,"El discurso presenta la determinación de manera declarativa y sin intensificadores verbales o adverbiales que aumenten la fuerza emocional. La metáfora del ""norte"" indica dirección y propósito, pero la expresión es moderada y no se percibe como una exaltación extrema, lo que sugiere una intensidad baja de la emoción.",DISCURSO_048_FR_016,Presidente Javier Milei,determinación
Alta,"El enunciador expresa una certeza absoluta con la frase ""no tengo duda"", lo que indica una confianza muy fuerte y una expectativa de éxito. Esta expresión de convicción sin reservas sugiere una intensidad alta de la emoción de confianza.",DISCURSO_048_FR_017,Presidente Javier Milei,confianza
Alta,"El enunciador expresa una expectativa optimista y segura de que los graduados lograrán que los argentinos se sientan orgullosos, usando la frase ""no tengo duda"" que indica una confianza firme y una actitud esperanzada fuerte. Esta combinación de certeza y optimismo sugiere una intensidad alta de la emoción de esperanza.",DISCURSO_048_FR_017,Presidente Javier Milei,esperanza
Alta,"El discurso del presidente Javier Milei reconoce explícitamente que el momento histórico que atraviesa el país “carga nuestras acciones y compromisos de un significado especial”, lo cual implica un reconocimiento profundo de la importancia y el valor del país. Este reconocimiento se traduce en un sentimiento de orgullo que se expresa con fuerza y convicción, típico de una emoción de alta intensidad. Además, el contexto de un discurso presidencial sobre un hito histórico refuerza la intensidad del orgullo expresado.",DISCURSO_048_FR_018,Presidente Javier Milei,orgullo
Baja,"El enunciado expresa una responsabilidad sin un tono emocional fuerte, simplemente reconoce la importancia del momento histórico y la necesidad de actuar con responsabilidad, lo que indica una intensidad baja.",DISCURSO_048_FR_018,Presidente Javier Milei,responsabilidad
Alta,"El enunciado expresa una fuerte condena hacia la casta política, usando términos como ""miserable"" y ""impuso"" y enfatizando la duración con ""por demasiado tiempo"", lo que indica una indignación intensa y no moderada.",DISCURSO_048_FR_019,Presidente Javier Milei,indignación
Alta,"El discurso utiliza adverbios y adjetivos que intensifican la frustración: ""por demasiado tiempo"" y ""realidad miserable"" indican una queja fuerte y prolongada contra la casta política. La combinación de estos elementos sugiere una expresión de frustración de alta intensidad.",DISCURSO_048_FR_019,Presidente Javier Milei,frustración
Baja,"El enunciado expresa esperanza de forma moderada, indicando un progreso con esfuerzo sin usar adjetivos intensos, por lo que la intensidad se considera baja.",DISCURSO_048_FR_019,Presidente Javier Milei,esperanza
Alta,"El discurso enfatiza un esfuerzo colectivo sostenido y la superación de una realidad miserable impuesta por la casta política, lo que indica una determinación firme y activa. La referencia a ""con esfuerzo"" y a la reversión de la situación a lo largo del año sugiere una emoción intensamente expresada y orientada a la acción, característica de una alta intensidad.",DISCURSO_048_FR_019,Presidente Javier Milei,determinación
Alta,"El enunciado utiliza calificativos fuertes como ""legados nefastos"" y expresa una condena directa a la casta, señalando que han fracturado la relación con las fuerzas armadas. La combinación de un lenguaje moralmente cargado y la acusación explícita indica una reacción de indignación intensa y no apenas leve o ambivalente.",DISCURSO_048_FR_020,Presidente Javier Milei,indignación
Alta,"La frase emplea términos cargados de condena como ""nefastos"" y describe una ruptura profunda entre la política y las fuerzas armadas, lo que indica un enojo intenso y directo hacia la casta. El tono crítico y la acusación explícita sugieren una expresión de ira con alta intensidad.",DISCURSO_048_FR_020,Presidente Javier Milei,ira
Alta,"El discurso muestra indignación fuerte al denunciar la hipocresía de quienes, a pesar de hablar de soberanía, desprestigian y diferencian a las fuerzas, provocando la pérdida de años valiosos en el desarrollo militar. El uso de verbos fuertes como ""desprestigiar"", ""diferenciar"" y la referencia a la pérdida de recursos y tiempo refuerza la intensidad alta de la emoción.",DISCURSO_048_FR_021,Presidente Javier Milei,Indignación
Alta,"El enunciado expresa una frustración marcada por la pérdida de tiempo y recursos, enfatizando que ""eso nos hizo perder años valiosos"". La referencia a años valiosos y la crítica directa a la casta política indican una emoción intensamente expresada y no apenas sutil, lo que sugiere una intensidad alta.",DISCURSO_048_FR_021,Presidente Javier Milei,Frustración
Alta,"El discurso presenta un tono crítico y acusatorio, con la frase ""se dedicaron a desprestigiar y diferenciar a nuestras fuerzas"" y la consecuencia de ""perder años valiosos"". La acusación directa y la referencia a pérdidas significativas indican una expresión fuerte de resentimiento, lo que sugiere una intensidad alta.",DISCURSO_048_FR_021,Presidente Javier Milei,Resentimiento
Alta,"El discurso expresa una fuerte sensación de decepción al señalar que la falta de apoyo político resultó en la pérdida de años valiosos para el desarrollo militar, lo cual implica un impacto significativo y una reacción emocional intensa. La referencia a ""años valiosos"" y la crítica directa a la casta política refuerzan la intensidad alta de la emoción.",DISCURSO_048_FR_021,Presidente Javier Milei,Decepción
Baja,"El uso de la expresión ""por suerte"" indica un alivio leve y no se emplean adjetivos o verbos que intensifiquen la emoción. La frase sugiere una sensación de alivio moderada por la preservación del afecto, sin un tono de euforia o gran sorpresa que caracterizaría una intensidad alta.",DISCURSO_048_FR_022,Presidente Javier Milei,Alivio
Alta,"El enunciado emplea verbos activos y afirmaciones de logro (“estamos dando vuelta”, “comenzamos a escribir una nueva”) junto con la expresión de reconocimiento y merecimiento de sus fuerzas. El tono es afirmativo y celebratorio, típico de un orgullo con fuerza expresiva, lo que indica una intensidad alta.",DISCURSO_048_FR_023,Presidente Javier Milei,Orgullo
Baja,"El enunciado muestra esperanza al referirse a una nueva página y al reconocimiento de las fuerzas, pero no utiliza adverbios o verbos intensos; la expresión es optimista pero moderada, por lo que la intensidad se considera baja.",DISCURSO_048_FR_023,Presidente Javier Milei,Esperanza
Alta,"El discurso emplea verbos decisivos como ""dando vuelta"" y ""comenzamos a escribir una nueva"", que indican una acción concreta y positiva para dejar atrás una ""triste página"". Esta expresión de alivio es fuerte y clara, lo que sugiere una intensidad alta de la emoción.",DISCURSO_048_FR_023,Presidente Javier Milei,Alivio
Alta,"El enunciado expresa una firme resolución de cambiar la historia y afirmar que las fuerzas del hablante merecen respeto y reconocimiento, lo cual indica una determinación intensa y claramente manifestada.",DISCURSO_048_FR_023,Presidente Javier Milei,Determinación
Alta,"El discurso emplea verbos activos y positivos como ""dando vuelta"" y ""comenzamos a escribir"", junto con la referencia a una nueva página y el reconocimiento de las fuerzas, lo que indica un optimismo fuerte y decidido. La ausencia de matices negativos o dudas refuerza la intensidad alta de la emoción.",DISCURSO_048_FR_023,Presidente Javier Milei,Optimismo
Alta,"El enunciado expresa una satisfacción fuerte y orgullosa al afirmar que sus fuerzas están recibiendo el respeto y reconocimiento que merecen, lo cual indica una emoción intensamente expresada dentro del contexto político y de cambio histórico.",DISCURSO_048_FR_023,Presidente Javier Milei,Satisfacción
Baja,"El enunciado es una declaración directa y sin adverbios o intensificadores que aumenten la fuerza emocional. La expresión de orgullo se presenta de manera moderada, simplemente afirmando una acción positiva sin enfatizarla de forma exagerada, lo que sugiere una intensidad baja.",DISCURSO_048_FR_024,Presidente Javier Milei,orgullo
Neutra/Ambivalente,"El discurso no contiene adverbios, adjetivos ni verbos que intensifiquen la emoción de satisfacción; la frase simplemente indica un proceso de reconciliación sin expresiones de júbilo extremo o de descontento. En ausencia de señales de intensidad, se infiere una emoción de satisfacción de carácter neutro o ambivalente.",DISCURSO_048_FR_024,Presidente Javier Milei,satisfacción
Neutra/Ambivalente,"El enunciado ""estamos reconciliando las fuerzas armadas con la política"" expresa una expectativa positiva (esperanza) sobre el futuro de la relación entre las fuerzas armadas y la política, pero no contiene adverbios, verbos intensificadores ni un tono emocional fuerte que sugiera una emoción intensamente expresada. Por lo tanto, la intensidad de la emoción se considera neutra o ambivalente, ya que la esperanza se presenta de manera moderada y sin indicios de una carga emocional elevada.",DISCURSO_048_FR_024,Presidente Javier Milei,esperanza
Baja,"El discurso menciona la reconciliación sin usar adverbios intensificadores ni expresiones emocionales fuertes; la afirmación es una declaración informativa y positiva, lo que sugiere una expresión de optimismo de intensidad baja.",DISCURSO_048_FR_024,Presidente Javier Milei,optimismo
Alta,"El enunciador utiliza verbos de compromiso y afirmación (“haciendo todo lo que esté a su alcance”, “los acompañará”) y expresa una convicción firme sobre la capacidad del gobierno para respaldar y jerarquizar las fuerzas. La expresión de confianza es directa y contundente, lo que indica una intensidad alta de la emoción.",DISCURSO_048_FR_025,Presidente Javier Milei,confianza
Alta,"La frase ""hará todo lo que esté a su alcance"" expresa un compromiso firme y decidido, caracterizando una actitud de determinación intensa. El uso de la expresión completa y la promesa de acción total refuerzan la fuerza del sentimiento, lo que indica una intensidad alta en el contexto del discurso político.",DISCURSO_048_FR_025,Presidente Javier Milei,determinación
Neutra/Ambivalente,"El discurso expresa orgullo al honrar el legado de Roca y San Martín, pero lo hace de manera moderada y sin un tono excesivamente exaltado. No se utilizan adjetivos o verbos que intensifiquen la emoción de forma extrema, por lo que la intensidad se percibe como neutra o ambivalente.",DISCURSO_048_FR_025,Presidente Javier Milei,orgullo
Alta,"El discurso expresa una expectativa positiva y optimista sobre el futuro de la nueva camada de egresados, resaltando la inmediatez de un apoyo gubernamental y la posibilidad de experimentar algo inédito. El uso de expresiones como ""será testigo de algo inédito"" y ""contarán con un gobierno que los acompañará y hará todo lo que esté a su alcance"" indica una emoción de esperanza con fuerza y convicción, lo que sugiere una intensidad alta.",DISCURSO_048_FR_025,Presidente Javier Milei,esperanza
Alta,"El discurso expresa un compromiso firme y positivo, con frases como ""hará todo lo que esté a su alcance"" y ""los acompañará"", que indican una actitud optimista y proactiva. La promesa de apoyo y la valoración del legado refuerzan la intensidad de la emoción, llevándola a un nivel alto.",DISCURSO_048_FR_025,Presidente Javier Milei,optimismo
Baja,"El enunciado expresa preocupación por los desafíos de la patria, pero sin intensificadores ni lenguaje emocional fuerte; la expresión es más informativa que apasionada, lo que indica una intensidad baja.",DISCURSO_048_FR_026,Presidente Javier Milei,concern
Alta,"El discurso utiliza verbos fuertes y imperativos como ""exigirá"", ""exigen"" y ""demandan"", junto con la exhortación a actuar con ""coraje, decisión y responsabilidad"", lo que indica una expresión de determinación intensa y un llamado urgente a la acción.",DISCURSO_048_FR_026,Presidente Javier Milei,determination
Baja,"El enunciado menciona la batalla de Caseros como motivo de presencia, lo que indica orgullo, pero no utiliza adverbios, verbos ni expresiones exclamativas que intensifiquen la emoción. Por lo tanto, la intensidad se infiere como baja.",DISCURSO_048_FR_027,Presidente Javier Milei,orgullo
Baja,"El enunciado muestra respeto sin usar adjetivos o verbos intensos; la expresión es formal y moderada, indicando una emoción leve.",DISCURSO_048_FR_027,Presidente Javier Milei,respet
Alta,"El enunciador utiliza expresiones como ""llamado histórico"" y la exhortación a ""prevalecer contra la tiranía rosista"", lo que indica un orgullo fuerte y enfático por la misión y la capacidad de los oficiales. La carga retórica y la referencia a la altura de la tarea sugieren una emoción intensamente expresada, por lo que se clasifica como alta.",DISCURSO_048_FR_028,Presidente Javier Milei,orgullo
Alta,"La frase emplea verbos de acción contundentes como ""prevalecer"" y un llamado directo a la acción frente a la ""tiranía rosista"", lo que indica una intención firme y activa. El contexto político y la referencia a un ""llamado histórico"" refuerzan la fuerza del mensaje, caracterizando una determinación con alta intensidad.",DISCURSO_048_FR_028,Presidente Javier Milei,determinación
Alta,"El discurso emplea un lenguaje fuerte y directo al referirse a la ""tiranía rosista"", una acusación explícita y cargada de moralidad. La frase invita a los camaradas a responder a un llamado histórico y a prevalecer contra dicha tiranía, lo que implica una postura crítica y de rechazo contundente. La combinación de la acusación de tiranía con la exhortación a la acción sugiere una indignación intensa y no simplemente leve o ambivalente.",DISCURSO_048_FR_028,Presidente Javier Milei,indignación
Baja,"El enunciado expresa una esperanza motivacional, pero sin adverbios ni intensificadores que indiquen una emoción fuerte. Se trata de un deseo moderado de que la memoria inspire a los graduados, lo que sugiere una intensidad baja según la heurística de que las expresiones de esperanza suelen ser leves o moderadas cuando no se acompañan de un lenguaje muy emotivo.",DISCURSO_048_FR_029,Presidente Javier Milei,esperanza
Neutra/Ambivalente,"El enunciado expresa confianza en los oficiales egresados, pero lo hace de manera formal y directa sin recurrir a adjetivos o expresiones que intensifiquen la emoción. La frase transmite una valoración positiva y una expectativa de desempeño, pero sin un tono apasionado o exaltado, lo que sugiere una intensidad neutra o ambivalente.",DISCURSO_048_FR_030,Presidente Javier Milei,confianza
neutra_ambivalente,"El enunciado ""ustedes pueden contar con la nación"" expresa confianza de manera directa y sin adverbios o intensificadores que aumenten su fuerza. No hay elementos lingüísticos que sugieran una emoción intensamente expresada, por lo que la intensidad se considera neutra o ambivalente.",DISCURSO_048_FR_031,Presidente Javier Milei,confianza
Neutra/Ambivalente,"El enunciador expresa gratitud mediante una mención formal y específica a las fuerzas armadas, sin usar adverbios intensificadores ni un tono emocional elevado. La expresión es cortés y respetuosa, típica de discursos oficiales, lo que sugiere una gratitud presente pero de intensidad moderada o neutra.",DISCURSO_048_FR_032,Presidente Javier Milei,gratitud
Baja,"La frase reconoce la labor de los hombres y mujeres de las fuerzas armadas con un tono formal y respetuoso, sin usar adjetivos o adverbios que intensifiquen la emoción. Por lo tanto, la intensidad de respeto se interpreta como baja.",DISCURSO_048_FR_032,Presidente Javier Milei,respeto
Alta,"El enunciador utiliza una mención especial y destaca la contribución de las fuerzas armadas a la formación de nuevos oficiales, lo que indica un orgullo fuerte y enfático.",DISCURSO_048_FR_032,Presidente Javier Milei,orgullo
Alta,"El discurso incluye una ""especial mención"" a los hombres y mujeres de las fuerzas armadas, lo que indica un reconocimiento destacado y un sentimiento de admiración fuerte. La elección de palabras y el tono formal refuerzan la intensidad de la emoción expresada.",DISCURSO_048_FR_032,Presidente Javier Milei,admiración
Baja,"El enunciado expresa una esperanza de manera sencilla y sin intensificadores ni adverbios que aumenten la fuerza emocional. La frase ""espero que los graduados los hagan sentir orgullosos"" indica un deseo positivo, pero su tono es moderado y no muestra una expresión intensa de la emoción.",DISCURSO_048_FR_034,Presidente Javier Milei,esperanza
Baja,"El enunciado expresa gratitud de manera formal y cortés, sin adverbios o verbos que intensifiquen la emoción (por ejemplo, ""inmensamente"", ""profundamente""). La palabra ""especialmente"" añade un ligero énfasis, pero no eleva la emoción a un nivel alto. En el contexto de un discurso presidencial, la expresión de agradecimiento suele ser respetuosa y moderada, lo que sugiere una intensidad baja.",DISCURSO_048_FR_035,Presidente Javier Milei,gratitud
Baja,"El discurso contiene una expresión de deseo de felicidad (“feliz navidad”) y una invitación a planificar en grande, pero sin adverbios intensificadores, exclamaciones o tono apasionado. Se trata de un saludo cordial y estándar, por lo que la intensidad de la emoción de felicidad se interpreta como baja.",DISCURSO_048_FR_036,Presidente Javier Milei,felicidad
Alta,"El discurso expresa un optimismo fuerte y directo al desear una ""feliz navidad"" y al invitar a ""planificar en grande"" para el próximo año. El uso de expresiones amplificadoras como ""en grande"" y la ausencia de matices negativos indican una emoción intensamente positiva y esperanzadora.",DISCURSO_048_FR_036,Presidente Javier Milei,optimismo
Alta,"El enunciador expresa un deseo fuerte y explícito de que Dios bendiga a los presentes y a todos los argentinos, acompañándolo con la frase ""las fuerzas del cielo nos acompañen"", lo cual indica una esperanza intensa y vigorosa en la realización de esa bendición.",DISCURSO_048_FR_037,Presidente Javier Milei,esperanza
Alta,"El discurso expresa una confianza explícita y fuerte al invocar a las fuerzas del cielo como acompañantes, lo que indica una emoción de confianza intensamente manifestada.",DISCURSO_048_FR_037,Presidente Javier Milei,confianza
Alta,"El enunciador utiliza ""muchas gracias"", un adverbio de intensidad que amplifica la gratitud, junto con exclamaciones y un tono celebratorio, lo que indica una expresión fuerte y apasionada de gratitud.",DISCURSO_048_FR_038,Presidente Javier Milei,gratitud
Alta,"El discurso incluye exclamaciones y palabras de celebración como ""felicidades a todos"" y ""¡viva la patria!"", indicando una expresión de alegría intensa y entusiasmo.",DISCURSO_048_FR_038,Presidente Javier Milei,felicidad
Alta,"El uso de la exclamación ""¡viva la patria!"" junto con la expresión de agradecimiento y felicitaciones en un discurso presidencial indica una manifestación fuerte y entusiasta de orgullo patriótico. La entonación y el contexto político refuerzan la intensidad de la emoción, lo que sugiere una intensidad alta.",DISCURSO_048_FR_038,Presidente Javier Milei,orgullo
Baja,"El saludo ""buenas tardes a todos"" es una expresión neutra y formal sin adjetivos, adverbios ni énfasis que intensifiquen la emoción de orgullo. La presencia del presidente y el tono inclusivo pueden generar un sentimiento de orgullo leve entre los partidarios, pero la frase en sí no muestra una expresión fuerte o apasionada de dicha emoción, lo que sugiere una intensidad baja.",DISCURSO_048_FR_001,Partido político de Javier Milei y su base electoral,orgullo
Baja,"El saludo ""buenas tardes a todos"" es una expresión de bienvenida sencilla y directa, sin énfasis, exclamaciones ni adjetivos que intensifiquen la emoción. En el contexto del discurso, se presenta de manera formal y cortés, lo que sugiere una intensidad leve o sutil de la emoción de bienvenida.",DISCURSO_048_FR_001,Público general argentino,bienvenida
Baja,"El saludo neutro del presidente no contiene expresiones emotivas ni adverbios que intensifiquen la indiferencia; por lo tanto, la emoción se percibe como leve y sin fuerza destacada.",DISCURSO_048_FR_001,Oposición política (la casta política),indiferencia
Alta,"El discurso expresa una condena directa y explícita al secuestro ilegal de Nahuel Gallo, lo que genera una reacción de indignación fuerte y clara. La referencia a un acto ilícito y la intención de denunciarlo indican una emoción intensamente expresada, típica de la indignación en contextos de injusticia.",DISCURSO_048_FR_002,prodestinatario,indignación
Baja,"El discurso menciona el secuestro ilegal de Nahuel Gallo, lo que genera una respuesta de solidaridad, pero la frase en sí es una simple referencia sin adjetivos, verbos intensos ni expresiones emocionales fuertes. Por lo tanto, la intensidad de la emoción identificada se considera baja.",DISCURSO_048_FR_002,prodestinatario,solidaridad
Alta,"El discurso expresa indignación ante un secuestro ilegal, una situación grave que provoca una reacción emocional fuerte. La condena explícita y el contexto de un delito violento indican una intensidad alta de indignación.",DISCURSO_048_FR_002,paradestinatario,indignación
Baja,"El discurso menciona el secuestro ilegal de Nahuel Gallo en Venezuela, lo que puede generar preocupación por la seguridad de ciudadanos argentinos en el extranjero. Sin embargo, la expresión no utiliza adjetivos intensos, verbos fuertes ni un tono alarmante; simplemente se presenta como un hecho relevante. Según la heurística de que la preocupación suele manifestarse con una intensidad baja cuando no se acompaña de un lenguaje alarmante, se infiere una intensidad baja.",DISCURSO_048_FR_002,paradestinatario,preocupación
Alta,"El discurso expresa indignación al condenar un secuestro ilegal, lo que implica una emoción fuertemente expresada y de alta intensidad.",DISCURSO_048_FR_002,contradestinatario,indignación
Baja,"El discurso presenta una condena formal del secuestro ilegal sin el uso de adjetivos o verbos intensamente emocionales. La expresión es directa y objetiva, lo que sugiere una emoción de defensa de baja intensidad.",DISCURSO_048_FR_002,contradestinatario,defensa
Alta,"El discurso utiliza calificativos fuertes como ""dictador criminal"" y acusa a las fuerzas de seguridad de detener a una persona por un delito tan leve, lo que genera una indignación intensa y claramente expresada.",DISCURSO_048_FR_003,prodestinatario,indignación
